,bn,bs,sn,ss,sst,sal,po4,prey,fe,mld,lat,upwelling,stratification
132,0.042862207,0.012257691,2.7456015e-10,1.8815034e-10,6.3361363,34.574417,7.379038e-07,0.29825762,2.119539e-10,86.888565,53.66394230733816,1,-8.710617e-08
133,0.04260005,0.011475806,2.6408656e-10,1.8214517e-10,6.0444818,34.54404,7.446775e-07,0.3000948,2.1361239e-10,88.3863,53.66394230733816,1,-3.3089555e-07
134,0.040063225,0.006931359,2.6769004e-10,1.8243669e-10,6.231953,34.552246,7.410434e-07,0.29727155,2.144967e-10,95.34308,53.66394230733816,1,-3.5032497e-07
135,0.04137297,0.007996635,2.7101738e-10,1.802098e-10,6.215218,34.559116,7.708543e-07,0.29791504,2.2412057e-10,102.68908,53.66394230733816,1,-4.0943576e-07
136,0.046573844,0.015824897,2.8286923e-10,1.8153781e-10,6.192866,34.570503,8.283358e-07,0.30037013,2.4096833e-10,105.76375,53.66394230733816,1,-4.3769995e-07
137,0.052018814,0.024733208,2.9838526e-10,1.8660022e-10,6.2106996,34.576153,8.7462445e-07,0.30306283,2.5407434e-10,101.62142,53.66394230733816,1,-1.8937308e-07
138,0.057015177,0.03241112,2.962414e-10,1.8545379e-10,5.9174237,34.560467,9.313892e-07,0.30725673,2.681574e-10,96.89787,53.66394230733816,1,-1.5815522e-07
139,0.060129818,0.037115548,3.1304928e-10,1.8985429e-10,6.030154,34.571907,9.781461e-07,0.30731902,2.803658e-10,98.02666,53.66394230733816,1,-1.6648664e-07
140,0.06023965,0.036846023,3.3528702e-10,1.9417647e-10,6.3540125,34.6041,9.952007e-07,0.30411392,2.863862e-10,105.21059,53.66394230733816,1,-1.3142272e-07
141,0.062335674,0.040539067,3.5630027e-10,2.0187288e-10,6.519184,34.61667,1.0014625e-06,0.30363253,2.877404e-10,100.11436,53.66394230733816,1,-9.376214e-08
142,0.06324706,0.041958272,3.7655745e-10,2.0682636e-10,6.691467,34.627773,1.0157473e-06,0.30236802,2.9123412e-10,101.06527,53.66394230733816,1,-1.2972998e-07
143,0.061731726,0.03987933,4.0589265e-10,2.1490973e-10,7.0611343,34.648792,9.951171e-07,0.29865712,2.874629e-10,103.54246,53.66394230733816,1,-1.9709933e-07
144,0.04169651,0.012545922,0.0026697663,3.7323622e-10,10.393338,34.791344,5.675841e-07,0.27020407,1.9317475e-10,115.1035,48.59037774223244,1,-2.6851993e-07
145,0.03476517,0.0024946034,0.0033950345,4.1899476e-10,11.014222,34.825024,4.8650026e-07,0.26346192,1.7523916e-10,114.09779,48.59037774223244,1,-2.747295e-07
146,0.024214806,1.1513718e-09,0.0029478215,4.8539534e-10,11.803754,34.86494,3.8334176e-07,0.25336224,1.528405e-10,110.90185,48.59037774223244,0,-2.5867362e-07
147,0.013835248,6.6245526e-10,0.0017386008,5.5931854e-10,12.551548,34.90441,3.0499194e-07,0.24294668,1.3723378e-10,110.499016,48.59037774223244,1,-2.2993372e-07
