Event,Latitude,Longitude,Elevation [m],Symbiosis,Spinose,Depth [m],Relative_Abundance
GeoB1711-5,-23.3167,12.3783,-1964,Yes,No,0,0.555
GeoB1711-5,-23.3167,12.3783,-1964,Yes,Yes,0,0.198
GeoB1712-2,-23.255,12.8033,-1007,No,No,0,0.08900000000000001
GeoB1712-2,-23.255,12.8033,-1007,No,Yes,0,0.235
GeoB1712-2,-23.255,12.8033,-1007,Yes,No,0,0.7490000000000001
GeoB1712-2,-23.255,12.8033,-1007,Yes,Yes,0,0.08900000000000001
GeoB1713-6,-23.22,13.015,-597,No,No,0,0.134
GeoB1713-6,-23.22,13.015,-597,No,Yes,0,0.257
GeoB1713-6,-23.22,13.015,-597,Yes,No,0,0.628
GeoB1713-6,-23.22,13.015,-597,Yes,Yes,0,0.04300000000000001
GeoB1720-4,-29,13.8283,-2011,No,No,0,0.39160000000000006
GeoB1720-4,-29,13.8283,-2011,No,Yes,0,0.21539999999999998
GeoB1720-4,-29,13.8283,-2011,Yes,No,0,0.6457
GeoB1720-4,-29,13.8283,-2011,Yes,Yes,0,0.0418
GeoB1721-4,-29.175,13.0883,-3079,No,No,0,0.32420000000000004
GeoB1721-4,-29.175,13.0883,-3079,No,Yes,0,0.19079999999999997
GeoB1721-4,-29.175,13.0883,-3079,Yes,No,0,0.6910000000000001
GeoB1721-4,-29.175,13.0883,-3079,Yes,Yes,0,0.08109999999999999
GeoB1722-3,-29.4483,11.75,-3971,No,No,0,0.23
GeoB1722-3,-29.4483,11.75,-3971,No,Yes,0,0.095
GeoB1722-3,-29.4483,11.75,-3971,Yes,No,0,0.8939999999999999
GeoB1722-3,-29.4483,11.75,-3971,Yes,Yes,0,0.14200000000000002
GeoB1725-1,-30.1733,3.0833,-972,No,No,0,0.263
GeoB1725-1,-30.1733,3.0833,-972,No,Yes,0,0.055
GeoB1725-1,-30.1733,3.0833,-972,Yes,No,0,0.81
GeoB1725-1,-30.1733,3.0833,-972,Yes,Yes,0,0.23500000000000004
GeoB1728-3,-29.8383,2.4067,-2887,No,No,0,0.1942
GeoB1728-3,-29.8383,2.4067,-2887,No,Yes,0,0.2236
GeoB1728-3,-29.8383,2.4067,-2887,Yes,No,0,0.48910000000000003
GeoB1728-3,-29.8383,2.4067,-2887,Yes,Yes,0,0.3121
GeoB2004-1,-30.8683,14.3467,-2571,No,No,0,0.3089
GeoB2004-1,-30.8683,14.3467,-2571,No,Yes,0,0.2391
GeoB2004-1,-30.8683,14.3467,-2571,Yes,No,0,0.7153
GeoB2004-1,-30.8683,14.3467,-2571,Yes,Yes,0,0.0567
GeoB2016-3,-31.905,-1.3033,-3387,No,No,0,0.1838
GeoB2016-3,-31.905,-1.3033,-3387,No,Yes,0,0.24780000000000002
GeoB2016-3,-31.905,-1.3033,-3387,Yes,No,0,0.5859000000000001
GeoB2016-3,-31.905,-1.3033,-3387,Yes,Yes,0,0.24609999999999999
GeoB2019-2,-36.0533,-8.7667,-3836,No,No,0,0.1889
GeoB2019-2,-36.0533,-8.7667,-3836,No,Yes,0,0.4346
GeoB2019-2,-36.0533,-8.7667,-3836,Yes,No,0,0.5496
GeoB2019-2,-36.0533,-8.7667,-3836,Yes,Yes,0,0.0412
GeoB2021-4,-36.835,-14.405,-3576,No,No,0,0.22740000000000002
GeoB2021-4,-36.835,-14.405,-3576,No,Yes,0,0.38780000000000003
GeoB2021-4,-36.835,-14.405,-3576,Yes,No,0,0.5307
GeoB2021-4,-36.835,-14.405,-3576,Yes,Yes,0,0.0651
GIK12329-1,19.3667,-19.93,-3318,No,No,0,0.266
GIK12329-1,19.3667,-19.93,-3318,No,Yes,0,0.122
GIK12329-1,19.3667,-19.93,-3318,Yes,No,0,0.7480000000000001
GIK12329-1,19.3667,-19.93,-3318,Yes,Yes,0,0.182
GIK12336-1,16.2383,-20.425,-3645,No,No,0,0.16400000000000003
GIK12336-1,16.2383,-20.425,-3645,No,Yes,0,0.09
GIK12336-1,16.2383,-20.425,-3645,Yes,No,0,0.5900000000000001
GIK12336-1,16.2383,-20.425,-3645,Yes,Yes,0,0.591
GIK12347-2,15.825,-17.8617,-2576,No,No,0,0.19299999999999998
GIK12347-2,15.825,-17.8617,-2576,No,Yes,0,0.129
GIK12347-2,15.825,-17.8617,-2576,Yes,No,0,0.633
GIK12347-2,15.825,-17.8617,-2576,Yes,Yes,0,0.4820000000000001
GIK13312-1,12.4875,-17.7905,-2175,No,No,0,0.087
GIK13312-1,12.4875,-17.7905,-2175,No,Yes,0,0.268
GIK13312-1,12.4875,-17.7905,-2175,Yes,No,0,0.31
GIK13312-1,12.4875,-17.7905,-2175,Yes,Yes,0,0.6300000000000001
GIK13519-1,5.67,-19.8517,-2862,No,No,0,0.026000000000000002
GIK13519-1,5.67,-19.8517,-2862,No,Yes,0,0.048
GIK13519-1,5.67,-19.8517,-2862,Yes,No,0,0.21
GIK13519-1,5.67,-19.8517,-2862,Yes,Yes,0,1.1540000000000001
GIK13586-3,19.408,-17.12,-660,No,No,0,0.133
GIK13586-3,19.408,-17.12,-660,No,Yes,0,0.311
GIK13586-3,19.408,-17.12,-660,Yes,No,0,0.62
GIK13586-3,19.408,-17.12,-660,Yes,Yes,0,0.274
GIK13587-1,19.389,-17.135,-810,No,No,0,0.09
GIK13587-1,19.389,-17.135,-810,No,Yes,0,0.353
GIK13587-1,19.389,-17.135,-810,Yes,No,0,0.5559999999999999
GIK13587-1,19.389,-17.135,-810,Yes,Yes,0,0.292
GIK13588-2,19.374,-17.152,-970,No,No,0,0.15999999999999998
GIK13588-2,19.374,-17.152,-970,No,Yes,0,0.316
GIK13588-2,19.374,-17.152,-970,Yes,No,0,0.5970000000000001
GIK13588-2,19.374,-17.152,-970,Yes,Yes,0,0.258
GIK16410-1,8.91,-20.85,-3969,No,No,0,0.095
GIK16410-1,8.91,-20.85,-3969,No,Yes,0,0.037000000000000005
GIK16410-1,8.91,-20.85,-3969,Yes,No,0,0.22800000000000004
GIK16410-1,8.91,-20.85,-3969,Yes,Yes,0,0.9949999999999999
GIK16415-1,9.5667,-19.1067,-3841,No,No,0,0.153
GIK16415-1,9.5667,-19.1067,-3841,No,Yes,0,0.062
GIK16415-1,9.5667,-19.1067,-3841,Yes,No,0,0.35100000000000003
GIK16415-1,9.5667,-19.1067,-3841,Yes,Yes,0,0.7659999999999998
GIK16419-1,9.8917,-16.74,-312,No,No,0,0.079
GIK16419-1,9.8917,-16.74,-312,No,Yes,0,0.11800000000000001
GIK16419-1,9.8917,-16.74,-312,Yes,No,0,0.212
GIK16419-1,9.8917,-16.74,-312,Yes,Yes,0,1.025
GIK16421-1,9.9217,-17.8683,-1556,No,No,0,0.196
GIK16421-1,9.9217,-17.8683,-1556,No,Yes,0,0.04
GIK16421-1,9.9217,-17.8683,-1556,Yes,No,0,0.307
GIK16421-1,9.9217,-17.8683,-1556,Yes,Yes,0,0.86
GIK16430-2,5.617,-19.983,-2811,No,No,0,0.059000000000000004
GIK16430-2,5.617,-19.983,-2811,No,Yes,0,0.013999999999999999
GIK16430-2,5.617,-19.983,-2811,Yes,No,0,0.185
GIK16430-2,5.617,-19.983,-2811,Yes,Yes,0,1.085
GIK16437-3,16.562,-17.555,-2766,No,No,0,0.23800000000000002
GIK16437-3,16.562,-17.555,-2766,No,Yes,0,0.17300000000000001
GIK16437-3,16.562,-17.555,-2766,Yes,No,0,0.8319999999999999
GIK16437-3,16.562,-17.555,-2766,Yes,Yes,0,0.15300000000000002
GIK16453-2,4.7333,-20.9417,-2675,No,No,0,0.06
GIK16453-2,4.7333,-20.9417,-2675,No,Yes,0,0.018000000000000002
GIK16453-2,4.7333,-20.9417,-2675,Yes,No,0,0.174
