Core,Latitude,Longitude,Water depth (m),Symbiosis,Spinose,Relative_Abundance
172-1058C,31.69,-75.43,2984,Yes,No,0.183
172-1058C,31.69,-75.43,2984,Yes,Yes,1.0190000000000001
172-1059B,31.674,-75.419,2885,No,No,0.157
172-1059B,31.674,-75.419,2885,No,Yes,0.023
172-1059B,31.674,-75.419,2885,Yes,No,0.24600000000000002
172-1059B,31.674,-75.419,2885,Yes,Yes,1.036
172-1060B,30.76,-74.466,3481,No,No,0.24600000000000005
172-1060B,30.76,-74.466,3481,No,Yes,0.024
172-1060B,30.76,-74.466,3481,Yes,No,0.17
172-1060B,30.76,-74.466,3481,Yes,Yes,1.0909999999999997
172-1061D,29.976,-73.6,4038,No,No,0.322
172-1061D,29.976,-73.6,4038,No,Yes,0.024
172-1061D,29.976,-73.6,4038,Yes,No,0.133
172-1061D,29.976,-73.6,4038,Yes,Yes,1.008
172-1062A,28.246,-74.407,4760,No,No,0.18
172-1062A,28.246,-74.407,4760,No,Yes,0.006
172-1062A,28.246,-74.407,4760,Yes,No,0.095
172-1062A,28.246,-74.407,4760,Yes,Yes,1.272
3-4bx,46.513,-11.503,4772,No,No,1.0439999999999998
3-4bx,46.513,-11.503,4772,No,Yes,0.187
3-4bx,46.513,-11.503,4772,Yes,No,0.22
3-4bx,46.513,-11.503,4772,Yes,Yes,0.08100000000000002
5-4bx,42.69,-20.028,5287,No,No,0.9990000000000001
5-4bx,42.69,-20.028,5287,No,Yes,0.10099999999999999
5-4bx,42.69,-20.028,5287,Yes,No,0.347
5-4bx,42.69,-20.028,5287,Yes,Yes,0.07799999999999999
51601-1,51.087,-12.915,1998,No,No,0.934
51601-1,51.087,-12.915,1998,No,Yes,0.203
51601-1,51.087,-12.915,1998,Yes,No,0.249
51601-1,51.087,-12.915,1998,Yes,Yes,0.034
51603-1,50.308,-13.33,2870,No,No,0.9619999999999999
51603-1,50.308,-13.33,2870,No,Yes,0.218
51603-1,50.308,-13.33,2870,Yes,No,0.22899999999999998
51603-1,50.308,-13.33,2870,Yes,Yes,0.021
51605-1,50.09,-13.86,3420,No,No,0.9079999999999999
51605-1,50.09,-13.86,3420,No,Yes,0.228
51605-1,50.09,-13.86,3420,Yes,No,0.259
51605-1,50.09,-13.86,3420,Yes,Yes,0.033
51606-1,49.745,-14.132,4092,No,No,1.026
51606-1,49.745,-14.132,4092,No,Yes,0.207
