Sample,Sample_ID,Flag,Device,Latitude,Longitude,Water_depth,Ocean,Sample_depth_top,Author,Journal,Year,Resource_doi,Database,Type,Symbiosis,Spinose,Prop
RN94-PC4,MARGO_3301,0,Trigger,30.32,131.5,2334,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.160714286
RN94-PC5,MARGO_3302,0,Trigger,30.1,131.47,2435,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.267657992
RN95-PC1,MARGO_3303,0,Trigger,32.07,128.98,676,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.213855421
RN95-PC2,MARGO_3304,0,Trigger,31.92,129,839,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.273743016
RN95-PC3,MARGO_3305,0,Trigger,30.82,128.17,500,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.327759197
RN95-PC4,MARGO_3306,0,Trigger,26.15,128.67,2787,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.576666666
RN96-PC3,MARGO_3307,0,Trigger,25.33,124.72,2137,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.346625765
RN96-PI4,MARGO_3308,0,Trigger,23.92,124.5,2416,49,0,Ujiie and Ujiie,J Foramin Res,2000,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.591111111
RR9702A-10MC-2,MARGO_3309,1,Multi,-46.317,-76.538,2879,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.015555556
RR9702A-1MC-4,MARGO_3311,1,Multi,-50.657,-76.955,3964,257,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.103896104
RR9702A-24MC-1,MARGO_3312,1,Multi,-41.297,-74.319,246,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.011049724
RR9702A-42MC-2,MARGO_3313,1,Multi,-36.167,-73.682,1028,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,0,Yes,Yes,0.010204082
RR9702A-46MC-2,MARGO_3314,1,Multi,-33.277,-73.533,3852,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.005449592
RR9702A-48MC-4,MARGO_3315,1,Multi,-32.591,-73.652,3920,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.01736111
RR9702A-50MC-1,MARGO_3316,1,Multi,-23.606,-73.345,3396,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.058823531
RR9702A-52MC-1,MARGO_3317,1,Multi,-23.193,-73.345,3418,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.035971223
RR9702A-54MC-1,MARGO_3318,1,Multi,-21.359,-81.436,1323,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.489626556
RR9702A-60MC-1,MARGO_3319,0,,-20.878,-81.499,2480,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.440261867
RR9702A-62MC-1,MARGO_3320,1,Multi,-18.085,-79.04,2937,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.247311828
RR9702A-64MC-1,MARGO_3321,1,Multi,-17.035,-78.109,2930,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.019943021
RR9702A-66MC-1,MARGO_3322,1,Multi,-16.127,-77.098,2575,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.174358975
RR9702A-6MC-3,MARGO_3323,1,Multi,-46.883,-76.6,3298,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.019396552
RR9702A-8MC-4,MARGO_3324,1,Multi,-46.35,-76.667,3014,81,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,96,1,Yes,Yes,0.009090909
S-8322,MARGO_3325,0,Grab,18,111.5833333,2085,49,,"Ho, MS Thesis",National Taiwan Ocean University Keelung,1998,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.341030196
S68 PC16,MARGO_3326,0,,-1.36,158.46,2000,81,0,Thiede et al.,Palaeogeogr Palaeoclimatol Palaeoecol,1997,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.417759838
SCAN86P,MARGO_3332,0,,31.9,157.32,3489,49,,Coulbourn et al.,Mar Micropaleontol,1980,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.09375
SCN-15,MARGO_3344,0,,32.233,157.667,2858,49,,Coulbourn et al.,Mar Micropaleontol,1980,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.1875
SCN-22PG,MARGO_3345,0,,11.017,-175.117,4814,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.010526316
SCN-25G,MARGO_3346,0,,0.983,-155,4759,49,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0
SCN-26G,MARGO_3347,0,,-2.45,-155.033,4921,81,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.02
SCN-27G,MARGO_3348,0,,-2.433,-155.05,4950,81,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.01010101
SCN-59,MARGO_3349,0,,-2.017,-130.483,4410,81,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0
SCN-96,MARGO_3353,0,,30.55,-118.133,2975,49,,Coulbourn et al.,Mar Micropaleontol,1980,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.010416667
SCS-12,MARGO_3354,0,Piston,7.7,109.3,543,49,,Ye and Wang (Eds.),Contributions to late quaternary paleoceanography of the south China sea,1992,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.555555556
SDS-93P,MARGO_3355,0,,29.87,-116.82,1270,49,,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,1,Yes,Yes,0.101694915
SDS-98P,MARGO_3357,0,,-3.8,-166.1,5147,81,0,Mix et al.,Paleoceanography,1999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0
SO136-100GC,MARGO_3362,0,Gravity,-56.458666,162.603,5009,257,0,"Schulz, H.",unpublished data,9999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0
SO136-110BX,MARGO_3363,0,Giant Box,-56.681166,160.247666,3907,257,0,"Schulz, H.",unpublished data,9999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0
SO136-116BX,MARGO_3364,0,Giant Box,-55.6671666,159.416666,4462,257,0,"Schulz, H.",unpublished data,9999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0
SO136-13BX,MARGO_3365,0,Giant Box,-43.335,167.698166,1547,81,0,"Schulz, H.",unpublished data,9999,doi:10.1594/PANGAEA.227323,64,0,Yes,Yes,0.049049049
