Event,Latitude,Longitude,Elevation [m],Depth [m],G. bulloides [%],G. falconensis [%],G. aequilateralis [%],G. calida [%],G. digitata [%],G. bradyi [%],G. glutinata [%],G. conglobatus [%],G. ruber p [%],G. ruber w [%],G. sacculifer wo sac [%],G. sacculifer sac [%],G. truncatulinoides d [%],G. truncatulinoides s [%],G. inflata [%],G. rubescens [%],G. tenella [%],N. dutertrei [%],N. pachyderma d [%],N. pachyderma s [%],O. universa [%],G. quinqueloba [%],P. obliquiloculata [%],G. menardii [%]
GIK16846-1,5.365,1.2867,-2739,0,6.2,0,4.6,0.8,0,0,5.9,0,19.9,34.1,3.5,1.6,0,0,3.2,0.5,0.3,12.1,0,0,2.2,0.5,0.3,2.2
GIK16855-1,5.5133,3.7783,-2173,0,2.6,0,5.3,0.8,0,0,2.9,0,13.9,19.2,20.9,5.3,0,0,0.8,0,0,14.5,0,0,1.6,0,1.1,8.8
GIK16856-1,4.8033,3.4083,-2860,0,2.3,0,4.7,0,0,0,1.4,0,14,31.6,12,3.5,0,0,2.6,0,0,16.4,0,0,0.3,0,0.8,8.7
GIK16865-1,2.6717,6.055,-2492,0,0.6,0,2.9,0,0,0,4.9,0,8.4,12.6,8.6,6.6,3.5,0,4.9,0,0,20,0,0,2,0,2,17.9
GIK16868-2,-0.2283,6.0183,-1284,0,6.9,0,3.6,0.1,0,0,4.6,0.1,9.9,29.2,9,3,0,0.8,8.3,0.1,0.7,11.6,2.6,0.1,0.5,0,0.6,2.8
GIK16870-1,-0.215,5.9683,-2469,0,8.8,0.4,5.1,0.1,0.2,0,5.8,0.1,17.8,21.8,7.9,4,0,0.5,4,1,0.6,10.3,1.1,0,1.5,0,0.6,4.3
GIK16871-1,-0.73,6.935,-2987,0,3.4,0,4.8,0,1,0,0.5,0,4.3,9,7,3.6,0,0,13.5,0,0,28.8,0.2,0,1.3,0,0.3,16
GeoB1015-2,-11.7775,12.8473,-1638,0,5.3,0,5.9,0.5,0.1,0,5.3,0,15.4,28.2,0.6,0,0,0,6,0,0,10.5,0,0,13.4,0,0.6,5
GeoB1017-3,-11.7407,10.5494,-3809,0,3.3,0,2.6,0.2,1.6,0,4.1,0,1.6,6.7,2.6,0.8,0,0,22.4,0,0,21.4,4.9,0.4,1.2,0,0.3,18.6
GeoB1025-2,-17.165,10.2417,-3565,0,21.3,0,0.7,0.2,0.7,0,1.5,0,0.3,0.8,0,0,0,0.1,41.8,0,0,14.5,3,0.3,8.2,0,0.2,0.7
GeoB1027-2,-19.6558,9.1377,-2668,0,22.1,0.2,1.1,0,0,0,3.3,0,0.1,0.5,0.5,0.1,0,0.1,27.3,0,0,24.9,2.5,0.2,12.7,0,0.1,0.8
GeoB1028-4,-20.0993,9.1777,-2215,0,21.9,0.4,2.3,0,0.1,0,2.2,0,0.4,3.9,0.3,0.2,0.2,0.3,19.6,0,0.4,25.2,9.7,0.4,6.3,0,0,1
GeoB1029-1,-21.0631,8.2288,-3420,0,27.8,0.5,3.7,0.2,0,0,5.9,0,0.3,4.3,0.8,0,1,1.5,7.7,0,0.4,27.9,8.5,1.3,0.7,0,0,0.2
GeoB1030-3,-21.0768,7.7786,-1326,0,27.7,0,1.9,0.3,0.5,0,3.2,0,0.5,4.7,0.8,0.1,1,2.9,14.3,0.3,1.2,12.9,16.3,0.6,2.4,1.1,0,0.6
GeoB1031-2,-21.883,7.1017,-3103,0,14.2,0.6,2.5,0.8,0.8,0,4.4,0.5,1.3,5.6,1.8,0.5,1.9,3.5,16.5,0,0.9,13.7,15.9,0.6,2.4,0.6,0,5.6
GeoB1032-2,-22.9133,6.0267,-2490,0,8.2,0.8,4.3,0,1.7,0,6.4,0,0,7.5,6.1,1.3,2,3.7,17.2,0.2,3.2,8.6,6.7,0.2,2.9,0,0.3,11.2
GeoB1033-3,-22.0533,5.535,-3147,0,8.5,1.5,3.1,0.1,0.7,0,7.6,0.4,0.4,7.4,5.2,2.1,1.7,5.1,19.8,0,2.7,8.4,5.7,0.2,3.5,0,0.1,8.9
GeoB1034-2,-21.7167,5.4317,-3800,0,11,0.5,2.2,0.4,0.3,0,5.2,0,0.9,8.8,5.7,1.9,2.4,7.6,18.6,0,1.6,9.6,5.4,0,4,0.3,0.3,8
GeoB1046-2,7.3433,-20.4717,-3914,0,4.9,0,10.1,0.5,0.6,0,4.2,0.4,1.8,26.3,19.2,10.9,0,0.4,0.9,0,1.2,8,0.7,0,2.5,0,0.9,3.6
GeoB1104-4,-1.1633,-10.725,-3715,0,5,0.3,5.4,0,0.5,0,8.7,0,3,38.1,10.8,6.1,0,0.2,0.9,0.8,0.3,5.2,0,0,1.4,0,3.2,5.2
GeoB1105-4,-1.665,-12.4283,-3225,0,4,0.2,4.8,0,0.3,0,15,0.4,2.5,34.4,11.1,3.7,0,0.1,1.2,2.6,0.6,4.7,0,0,1.2,0,3,6.4
GeoB1106-4,-1.76,-12.557,-2443,0,6.2,0.4,5.9,0.2,0.3,0,11.6,0.1,3.7,35.7,5.9,4.2,0,0.6,3.9,0.7,1.3,5.7,0,0,0.6,0,2,3
