Latitude,Longitude,Sample depth - upper (m),Symbiosis,Spinose,Prop
17.6483,-67.1667,0.53,Yes,No,0.172
17.6483,-67.1667,0.55,Yes,No,0.206
17.6483,-67.1667,0.57,Yes,No,0.205
17.6483,-67.1667,0.6,Yes,No,0.032
17.6483,-67.1667,0.62,Yes,No,0.015
16.133,-74.45,0.64,Yes,No,0.224
16.133,-74.45,0.71,Yes,No,0.201
16.133,-74.45,0.74,Yes,No,0.214
15.9533,-18.1333,1.6,Yes,No,0.215
15.825,-17.8617,3,Yes,No,0.261
15.825,-17.8617,3.1,Yes,No,0.299
15.825,-17.8617,3.2,Yes,No,0.305
15.48,-17.36,4.3,Yes,No,0.332
15.48,-17.36,4.4,Yes,No,0.289
15.48,-17.36,4.5,Yes,No,0.366
15.48,-17.36,4.6,Yes,No,0.408
15.48,-17.36,4.7,Yes,No,0.392
15.48,-17.36,4.8,Yes,No,0.355
15.48,-17.36,4.9,Yes,No,0.274
15.4,-43.4,0.19,Yes,No,0.019
15.065,-75.95,0.59,Yes,No,0.236
15.065,-75.95,0.6,Yes,No,0.24
15.033,-80.23,0.6,Yes,No,0.203
15.033,-80.23,0.61,Yes,No,0.162
15.033,-80.23,0.65,Yes,No,0.189
15.033,-80.23,0.7,Yes,No,0.159
15.033,-80.23,0.71,Yes,No,0.177
15.033,-80.23,0.79,Yes,No,0.237
15.033,-80.23,0.85,Yes,No,0.321
14.167,-18.58,1.11,Yes,No,0.218
14.167,-18.58,1.14,Yes,No,0.241
14.167,-18.58,1.19,Yes,No,0.257
14.167,-18.58,1.24,Yes,No,0.297
14.167,-18.58,1.31,Yes,No,0.301
12.09,-61.2433,3.1,Yes,No,0.236
12.09,-61.2433,3.2,Yes,No,0.195
12.09,-61.2433,3.3,Yes,No,0.116
12.09,-61.2433,3.4,Yes,No,0.133
12.09,-61.2433,3.5,Yes,No,0.176
12.09,-61.2433,3.6,Yes,No,0.131
11.65,-80.13,0.6,Yes,No,0.134
9.5667,-19.095,0.45,Yes,No,0.615
5.67,-19.8517,0.27,Yes,No,0.158
5.67,-19.8517,0.3,Yes,No,0.197
5.67,-19.8517,0.35,Yes,No,0.224
5.385,-21.7517,0.3,Yes,No,0.24
5.335,-22.0533,0.26,Yes,No,0.175
5.335,-22.0533,0.28,Yes,No,0.167
5.335,-22.0533,0.3,Yes,No,0.182
5.335,-22.055,0.29,Yes,No,0.135
5.335,-22.055,0.32,Yes,No,0.114
3.735,-11.3983,0.25,Yes,No,0.669
3.735,-11.3983,0.4,Yes,No,0.55
3.02,-22.0317,0.36,Yes,No,0.311
3.02,-22.0317,0.39,Yes,No,0.465
3.02,-22.0317,0.42,Yes,No,0.564
1.367,-33.48,0.5,Yes,No,0.297
1.367,-33.48,0.52,Yes,No,0.298
1.367,-33.48,0.55,Yes,No,0.345
1.367,-33.48,0.57,Yes,No,0.342
1.367,-33.48,0.6,Yes,No,0.325
1.367,-33.48,0.62,Yes,No,0.309
84.0292,11.2383,0.14,No,Yes,0
84.0292,11.2383,0.15,No,Yes,0.001
82.3967,40.9083,3.1,No,Yes,0
82.3967,40.9083,3.3,No,Yes,0
82.3967,40.9083,3.5,No,Yes,0
82.0317,15.1908,0.73,No,Yes,0.013
82.0317,15.1908,0.79,No,Yes,0.015
81.759,-9.4355,0.17,No,Yes,0
81.759,-9.4355,0.27,No,Yes,0
81.759,-9.4355,0.61,No,Yes,0
81.759,-9.4355,0.83,No,Yes,0
81.535,30.5933,1.72,No,Yes,0
81.535,30.5933,1.92,No,Yes,0
81.535,30.5933,2.13,No,Yes,0
81.535,30.5933,2.23,No,Yes,0
81.3667,17.4717,0.3,No,Yes,0
81.3667,17.4717,0.4,No,Yes,0.002
81.2333,2.3817,3.89,No,Yes,0
81.2333,2.3817,3.95,No,Yes,0
81.2333,2.3817,3.97,No,Yes,0
79.6,-4.6077,0.5,No,Yes,0
79.6,-4.6077,0.52,No,Yes,0
79.6,-4.6077,0.56,No,Yes,0
78.8553,-4.7812,0.24,No,Yes,0
78.8553,-4.7812,0.26,No,Yes,0
77.46,4.58,0.3,No,Yes,0
76,8.3333,0.47,No,Yes,0.001
76,8.3333,0.53,No,Yes,0
76,8.3333,0.57,No,Yes,0.002
76,8.3333,0.58,No,Yes,0
76,8.3333,0.62,No,Yes,0
75.0003,-8.771,1.32,No,Yes,0
75.0003,-8.771,1.56,No,Yes,0
74.9967,-11.8267,0.23,No,Yes,0
74.9967,-11.8267,0.36,No,Yes,0
74.1767,-0.48,0.35,No,Yes,0
74.1767,-0.48,0.4,No,Yes,0
72.3797,-10.5923,1.2,No,Yes,0.004
72.2252,14.4273,2.6,No,Yes,0.002
72.183,8.583,2,No,Yes,0.003
72.151,11.4343,3.12,No,Yes,0
72.151,11.4343,3.15,No,Yes,0
72.151,11.4343,3.21,No,Yes,0
72.151,11.4343,3.25,No,Yes,0
72.151,11.4343,3.31,No,Yes,0
