Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii flexuosa,Globorotalia menardii & Globorotalia tumida,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Turborotalita humilis & Berggrenia pumilio,Globigerinita uvula,Other ID,Other UnID
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.75,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0.1,95,2.6,0,,,0,0,0,0,,0,0,,,0,0,2.3,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.81,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0.1,95,2.6,0,,,0,0,0,0,,0,0,,,0,0,2.3,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.85,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0.3,95.6,2.2,0,,,0,0,0,0,,0,0,,,0,0,1.8,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.92,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0.3,95.6,2.2,0,,,0,0,0,0,,0,0,,,0,0,1.8,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,3.96,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,95.6,3.5,0,,,0,0,0,0,,0,0,,,0,0,0.9,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,95.6,3.5,0,,,0,0,0,0,,0,0,,,0,0,0.9,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.11,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,95.6,3.5,0,,,0,0,0,0,,0,0,,,0,0,0.9,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.21,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,98.8,0.3,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.3,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,95.9,2.1,0,,,0,0,0,0,,0,0,,,0,0,1.9,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.41,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,95.9,2.1,0,,,0,0,0,0,,0,0,,,0,0,1.9,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.5,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,95.9,2.1,0,,,0,0,0,0,,0,0,,,0,0,1.9,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.61,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,95.9,2.1,0,,,0,0,0,0,,0,0,,,0,0,1.9,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.71,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,99.5,0.3,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.8,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,94.6,3.9,0,,,0,0,0,0,,0,0,,,0,0,1.5,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,4.91,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,94.6,3.9,0,,,0,0,0,0,,0,0,,,0,0,1.5,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,5,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,94.6,3.9,0,,,0,0,0,0,,0,0,,,0,0,1.5,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,5.11,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,99.4,0.3,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,5.21,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,96,1.7,0,,,0,0,0,0,,0,0,,,0,0,2.3,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,5.3,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,96,1.7,0,,,0,0,0,0,,0,0,,,0,0,2.3,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,5.41,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,96,1.7,0,,,0,0,0,0,,0,0,,,0,0,2.3,,,0,0,,
MD95-2012,,72.151,11.4343,-2094,North Atlantic,5.5,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,98,1.1,0,,,0,0,0,0,,0,0,,,0,0,0.9,,,0,0,,
GIK17730-4,,72.1117,7.3883,-2749,North Atlantic,1.4,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,97.6,1.9,0,,,0,0,0,0,,0,0,,,0,0,0.4,,,0,0,,
GIK17730-4,,72.1117,7.3883,-2749,North Atlantic,1.45,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,1.2,0,0,0,0,96.9,1.4,0,,,0,0,0,0,,0,0,,,0,0,0.4,,,0,0.2,,
GIK17730-4,,72.1117,7.3883,-2749,North Atlantic,1.47,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0.3,0,0,0,0,95.9,3.9,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
GIK17730-4,,72.1117,7.3883,-2749,North Atlantic,1.5,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,1.4,0,0,0,0,95.9,2.4,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0.3,,
GIK17730-4,,72.1117,7.3883,-2749,North Atlantic,1.55,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,1.1,0,0,0,0.3,96.5,0.7,0,,,0,0,0,0,,0,0,,,0,0,1.3,,,0,0.1,,
GIK17730-4,,72.1117,7.3883,-2749,North Atlantic,1.57,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,98,2,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0.1,,
PS1927-2,,71.4967,-17.1483,-1706,North Atlantic,0.72,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,99.9,0.1,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS1927-2,,71.4967,-17.1483,-1706,North Atlantic,0.8,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,99.1,0.9,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS1927-2,,71.4967,-17.1483,-1706,North Atlantic,0.9,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,99.2,0.8,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
GIK23351-1,,70.3622,-18.2053,-1672,North Atlantic,0.6,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0.1,0,0,0,0,96.1,3.3,0,,,0,0,0,0,,0,0,,,0,0,0.5,,,0,0,,
GIK23354-6,,70.3315,-10.6288,-1747,North Atlantic,0.8,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,97,3,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS1730-2,,70.1165,-17.6943,-1622,North Atlantic,0.9,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,99.4,0.6,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
PS1951-1,,68.8417,-20.825,-1459,North Atlantic,0.83,,,,,Kiel,,Pflaumann et al. (in press),M. W. ,39222,0,0,0,0,0,0,,0,0,0,0,0,0,0,98.5,1.5,0,,,0,0,0,0,,0,0,,,0,0,0,,,0,0,,
