_id,Core,Coring_device,Latitude,Longitude,Water_Depth,Ocean,Sample_depth_upper,Sample_depth_lower,chronozone_level,sedimentation_rate,Publication,added_by,date_of_addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacculifer,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beella digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma,Neogloboquadrina incompta,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globoconella inflata,Truncorotalia truncatulinoides,Truncorotalia crassaformis,Truncorotalia crassula,Hirsutella hirsuta,Hirsutella scitula,Menardella menardii,Globorotalia tumida,Globorotalia flexuosa,Hirsutella theyeri,Micro,Other_ID,Other_UnID,Total_Planktics,percent_or_Raw,no_decimals,Total,Current_sum,BFD,Ocean2,sp_rich,rarefy_sr,simpson,simpsonEve,FRic,MorphoAgeAbun,LinAgeAbun
44,PS2613-1,BC,74.176,-0.4788,3257,Nordic_Seas,0,0.01,1,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1504,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1524,P,N,Y,100,N,Atlantic,3,2.57033374719197,0.0246998420800084,0.341775124946384,0.114077045197372,10.8442547603414,10.9094878529219
45,GIK23508-1,BC,73.859,-9.3952,3202,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,714,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,P,N,Y,100,N,Atlantic,4,3.36672712284801,0.0782496531390912,0.271223114644214,0.185064607478481,11.1123655913979,11.5415322580645
46,GIK23509-1,BC,73.833,-13.502,2576,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,780,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,P,N,Y,100,N,Atlantic,3,2.39971345514666,0.0151765307642006,0.338470135761481,0.114077045197372,10.8732824427481,10.9697201017812
47,GIK23507-1,BC,73.83,-9.2517,3150,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,492,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,P,N,Y,100,N,Atlantic,3,2.94096919282637,0.0354420898721519,0.345581462588546,0.114077045197372,10.9125748502994,11.0662674650699
48,V27-58,TW,73.54,-2.6632,2754,Nordic_Seas,0,0.01,5,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,610,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,643,P,N,Y,100,N,Atlantic,3,2.9936844154248,0.0984208451344664,0.369721650655342,0.114077045197372,10.9894245723173,11.2667962674961
49,V28-28,TW,73.483,-0.8332,2288,Nordic_Seas,0,0.01,5,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,630,P,N,Y,100,N,Atlantic,2,1.99999872726047,0.0705657430321718,0.537961664584209,NA,10.7853503184713,10.8
50,GIK23510-1,BC,73.453,-13.432,2643,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,592,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,P,N,Y,100,N,Atlantic,3,2.8161380826167,0.0296012469511435,0.343501403197445,0.114077045197372,10.8688851913478,10.9664725457571
51,GIK23291-1,BC,73.392,1.49,3177,Nordic_Seas,0,0.01,2,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,357,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,P,N,Y,100,N,Atlantic,3,2.89858241407267,0.206707675718067,0.420189787711683,0.114077045197372,12.4242574257426,14.5147277227723
52,GIK23511-2,BC,73.215,-15.015,2295,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,9,0,0,0,0,17,1406,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,P,N,Y,100,N,Atlantic,4,3.74618206297415,0.0516925514690647,0.263627582370344,0.185064607478481,10.9934903047091,11.3054362880886
53,GIK23270-2,BC,73.165,-0.82,2768,Nordic_Seas,0,0.01,2,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,534,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,P,N,Y,100,N,Atlantic,3,2.87557748021113,0.0567471074380165,0.353387024796671,0.127076542128762,10.8923636363636,11.2278181818182
54,PS2627-5,BC,73.148,-15.652,2009,Nordic_Seas,0,0.01,5,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,881,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,P,N,Y,100,N,Atlantic,4,3.45636877170154,0.054069265967867,0.264289964376512,0.185064607478481,10.9311258278146,11.1344370860927
55,V29-214,TW,72.967,-6.9833,2608,Nordic_Seas,0,0.01,5,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,314,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,327,P,N,Y,100,N,Atlantic,3,2.99654219694848,0.0658556213017752,0.356832777603232,0.114077045197372,10.9249230769231,11.1078461538462
56,GIK23512-1,BC,72.942,-13.423,2610,Nordic_Seas,0,0.01,4,NA,Pflaumann_et_al._(in_press),U.P,25.11.2002,0,0,0,0,0,0,0,0,0,4,0,0,0,0,16,1761,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1791,P,N,Y,100,N,Atlantic,4,3.25892773281431,0.0341765734614158,0.258846485942027,0.185064607478481,10.9368303571429,11.1381696428571
