Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Turborotalita humilis & Berggrenia pumilio,Candeina nitida ,Globigerinita glutinata
RC9-124,,-28.75,172.6,234,Pacific,40,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.54,3.35,9.95,1,1.36,0,3.26,0.9,11.95,20.81,0.18,0,0.45,0,11.76,1.27,0,0,0.09,16.83,3.17,7.42,1.09,0.09,0,0,4.52
RC9-126,,-33.233,168.733,235,Pacific,30,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,1.41,0,5.46,0.23,0.23,0,1.8,0.23,19.2,10.93,0,0.08,0.55,0.23,21.23,3.75,0,0,0.23,25.06,3.36,2.89,0,0,0,0,3.12
RC10-97,,0.92,-134.32,236,Pacific,44,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0,0,1.26,0,0.88,0,1.76,0,2.39,0,0.5,0,0,0,12.58,23.65,2.14,0.13,22.39,0.63,0.13,1.38,0,0,27.67,0,2.52
RC10-11,,-11.18,-162.92,237,Pacific,20,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.21,6.29,40.21,4.74,5.46,0.1,3.2,1.24,0.82,0,0.21,1.75,0,0,0,0.21,0,0,0.93,0,0,0,0,0,0.62,0,34.02
RC10-16,,33.08,158,238,Pacific,9,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,2.66,0,1.93,0,0,0,0,0.24,11.84,0.48,0,0,0.24,0.24,14.73,19.32,0,0,0,42.75,2.17,2.42,0,0.48,0,0,0.48
RC11-21,,1.82,-140.05,239,Pacific,40,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.35,0,2.83,0.35,1.77,0,1.06,0.35,3.18,0.35,0.35,1.06,0,0,5.3,19.79,1.41,0.35,16.61,0.35,0,13.43,0,0,30.74,0,0.35
RC11-21,,-6.13,-140.85,240,Pacific,15,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.14,2.58,14.33,5.01,6.59,0,4.01,0.57,8.31,0.29,0.29,1.43,0,0,0.43,6.02,7.31,0.43,9.89,0,0,0.86,0,0,8.6,0,22.92
RC11-22,,-14.82,-139.97,241,Pacific,30,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.2,1.43,45.1,7.45,6.02,0.1,1.84,1.63,1.73,0.2,0,2.04,0,0,0,0.1,0.41,0.71,0.2,0,0,0.1,0.1,0,1.33,0.2,29.08
RC11-23,,-8.8,-110.8,242,Pacific,45,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.85,2.4,12.98,0.14,5.92,0,1.55,0.42,7.05,0,0.14,0.42,0.14,0,8.18,13.26,3.1,2.96,4.23,0.28,0,0.14,0,0,11.85,0,23.98
RC12-10,,-26,169.2,243,Pacific,40,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,1.69,6.86,20.42,0.81,2.99,0,3.39,1.78,8.23,14.53,0.24,0,0.08,0,3.23,1.86,0,0,0.16,15.9,1.7,6.05,0.16,0.32,0.65,0,8.96
RC12-36,,15.1,124.13,244,Pacific,20,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.63,11.88,41.88,2.5,16.72,1.88,3.28,1.88,5.47,0.47,0.47,0.63,0,0,0,2.5,0,0,1.09,0,0.63,0.63,0,0,1.09,0.16,6.25
RC13-17,,19.08,-170.07,245,Pacific,30,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.81,13.41,11.79,0,2.85,16.26,0.41,0.41,2.44,0,1.22,0,0,0,0.41,1.22,0.41,0.41,1.22,2.44,4.06,3.25,0,0,36.59,0,0.41
RC13-81,,-19.02,-124.23,246,Pacific,10,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.19,10.74,38.63,2.14,4.79,0.14,2.05,0.98,1.86,0,0.23,0.19,0,0,0,0.19,1.77,0.37,0.74,0,0.23,0.74,0,0,5.25,0.05,28.73
RC13-11,,-1.65,-103.63,247,Pacific,50,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.51,0,2.05,0,0.68,0,0.68,0,5.29,0.17,0,0.17,0,0,46.42,20.65,0.34,0.34,1.54,8.02,0,1.54,0,0,9.04,0,2.56
V 18-31,,-2.85,-126.2,248,Pacific,25,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0,0,6.81,0,0.36,0,0.36,0,3.94,0,0,0.72,0,0,16.13,24.73,1.08,0,10.75,0,0,1.08,0,0,27.96,0,6.09
V 18-31,,3.17,-118.47,249,Pacific,15,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0,0.33,2,0,3,0,1,0,0.67,0,0.33,0,0,0,3.67,51.33,0.67,0,5,0,0,0.33,0,0,30.33,0,1.33
V 19-29,,-3.58,-83.93,250,Pacific,120,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.08,0,0.17,0,0.25,0,0.08,0,27.57,0,0.08,0.08,4.34,5.6,22.64,20.13,0,0,0,17.79,0,0.08,0,0,0.25,0,0.84
V 19-53,,-17.02,-113.52,251,Pacific,45,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0,9.33,0.35,0,1.58,0.88,0.35,0.18,0.53,0,0,0,0,0,0.18,4.05,11.44,0,17.78,0,0.18,1.41,0,0,46.48,0,5.28
V 19-55,,-17,-114.18,252,Pacific,23,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.11,3.45,23.62,2.45,5.39,0.11,1.83,0.61,3.78,0,0.11,0.67,0,0,0,1.39,4.72,0.17,5.06,0.28,0,0.17,0,0,11.06,0,35.02
V 19-64,,-16.93,-121.2,253,Pacific,15,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.11,6.43,32.82,3.16,5.78,0.22,1.74,0.76,2.62,0.11,0.11,0.44,0,0,0,0.22,2.18,0.44,1.53,0,0,0.22,0,0,3.93,0.11,37.08
V 19-65,,-16.65,-124.38,254,Pacific,15,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.13,6.32,34.06,0.72,4.81,0.46,1.91,1.05,1.25,0,0.13,0.26,0,0,0,0.59,3.29,0.72,2.37,0.07,0.07,0.33,0,0,6.46,0.07,34.91
V 19-96,,0.87,172,255,Pacific,15,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0,2.9,9.35,0.32,9.68,0,3.87,0,10.65,0,0,0,0,0,0.65,13.23,0.65,0,28.06,0,0,1.29,0,0,8.39,0,10.97
V 20-11,,47.95,168.78,256,Pacific,20,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0,0,0.23,0,0,0,0,0,3.27,0,0,0,6.07,88.79,1.64,0,0,0,0,0,0,0,0,0,0,0,0
V 21-30,,-1.22,-89.68,257,Pacific,250,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.45,0.06,2.64,0.13,0.26,0,0.06,0,42.75,0,0,0.32,3.22,0.26,17.41,15.02,0,0,0,14.12,0,0.06,0,0.13,1.16,0,1.93
V 21-33,,-3.8,-92.08,258,Pacific,45,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.33,0,0.33,0,0.17,0,0.17,0,12.31,0,0,0,0,0,21.46,35.27,0,0,0.67,19.63,0,0.17,0,0,3.49,0,5.99
V 21-14,,37.68,163.03,259,Pacific,70,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.25,0,0.5,0,0,0,0,0,6.7,0,0,0,0.5,3.97,17.37,1.49,0,0,0.25,55.58,2.48,0,0,0,0,0,10.92
V 28-20,,2.77,-173.93,260,Pacific,20,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0,3.21,22.99,1.98,7.17,0.12,3.46,1.24,15.45,0,0,5.69,0,0,0,0.37,0.99,0,9.02,0,0,0.12,0,0,0.87,0.12,27.19
V 28-20,,0.95,-179.42,261,Pacific,40,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.2,1.18,27.82,1.37,7.54,0,4.7,0.49,9.21,0.1,0.1,1.08,0,0,0,4.8,2.25,0,14.1,0,0,1.18,0,0.1,4.51,0,19.29
V 28-23,,-5.5,166.75,262,Pacific,20,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0,1.66,38.63,1.1,7.73,0,2.21,1.77,7.73,0.11,0.11,1.55,0,0,0,5.96,0.11,0.11,2.87,0,0.22,0.44,0,0.44,1.66,0,25.61
V 28-23,,1.02,160.48,263,Pacific,35,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0,1.8,23.72,1.2,6.61,0,6.31,2.1,11.71,0.3,0,1.8,0,0,0,6.31,1.2,0,10.81,0,0,0.9,0,0,6.01,0.3,18.92
V 28-23,,3.25,159.18,264,Pacific,30,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0,2.22,18.73,0.63,4.44,0,7.3,1.59,9.52,0,0,0.63,0,0,0,9.52,1.59,0,16.51,0,0.32,1.59,0,0.32,7.3,0,17.78
V 28-24,,11.07,138.53,265,Pacific,20,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.12,3.23,58.56,2.69,10.66,0.12,2.87,0.24,5.99,0.06,0.24,1.02,0,0,0.06,2.51,0,0.54,0.48,0,0.06,0,0,0,1.98,0.18,8.38
V  28294,,28.43,139.97,266,Pacific,4,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,1.27,0.23,18.12,1.27,4.44,0.05,1.95,0.32,12.32,13.81,0.27,0.23,0.09,0.18,12,4.08,0,0,1.18,8.51,7.06,3.4,0,0.86,0.14,0,8.24
V  28304,,28.53,134.13,267,Pacific,45,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.42,3.51,15.56,0.33,6.86,0,2.43,1.42,13.97,5.44,0.92,0.08,0.08,0.17,13.56,10.29,0,0.08,1.92,9.46,4.27,1.17,0.08,0.25,0.17,0,7.53
V28-310,,25.42,125.63,268,Pacific,40,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.23,1.82,16.99,7.41,1.03,0,0.34,7.18,8.1,0.91,0.68,4.56,0.11,0,0.23,5.02,0,0,5.02,0.11,0.68,0.34,0,0,0.34,0,38.88
V 32126,,35.32,177.9,269,Pacific,25,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,1.37,0,1.67,0,0,0,0.61,0,27.66,0,0.3,0,1.37,1.22,31.16,2.58,0,0,0,27.2,2.13,0,0,0.15,0,0,2.58
V32-128,,36.47,177.17,270,Pacific,32,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,1.21,0,0.51,0,0,0,0,0,17.58,0,0.1,0,1.62,7.47,43.33,0.71,0,0,0,24.24,1.92,0,0,0,0,0,1.31
V  32139,,31.57,151.1,271,Pacific,1,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,1.49,0.75,5.22,0,0.75,0,0.75,0,7.46,1.24,0.25,0,0,0,9.95,3.73,0,0,0.75,58.96,4.97,1.49,0.25,0.75,0.5,0.75,0
RC10-62,,3.33,-101.72,301,Pacific,51,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.43,0,6.96,0.43,3.04,0,0.87,0.87,4.35,0.43,0,0.87,0,0,2.61,45.65,0,0,3.48,1.74,0,2.61,0,0,18.7,0,6.96
RC13110,,0.1,-95.65,302,Pacific,54,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0,0,3.59,0,0.3,0,0.3,0.3,9.28,0.3,0,0,0.6,0,4.79,63.47,0,0,0,5.99,0,4.19,0,1.8,2.99,0,2.1
RC13115,,-1.63,-104.83,303,Pacific,61,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.54,0.27,4.04,0,1.08,0,1.08,0.27,7.01,0.27,0,0,0,0,4.31,46.9,0.54,0.27,2.7,5.93,0,1.89,0,0,20.49,0,2.43
V19-29,,-3.58,-83.93,304,Pacific,120,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.59,0,0.17,0,0.25,0,0.75,0.75,23.95,0,0.08,0.08,3.18,2.51,13.48,32.75,0,0,0.08,18.17,0,0.42,0,0,0.92,0,1.84
VNTRO1-8,,0.03,-110.48,305,Pacific,41,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,1.03,0,2.87,0.21,1.85,0,0.62,0,5.13,0.41,0,0,0,0,10.88,48.25,0.41,0,1.44,4.31,1.23,8.62,0,0.21,11.09,0,1.44
Y69-106p,,2.98,-86.55,306,Pacific,30,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,1.05,0,6.67,1.05,0.35,0,0.35,0.7,12.28,1.4,0.35,1.05,1.05,0,9.47,35.09,0,0.7,0.35,1.75,0,0,0,1.75,10.88,0,13.68
Y69-71P,,0.1,-86.48,307,Pacific,180,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.3,0,4.24,0,0.61,0,0,0.61,20,0,0.3,0.3,0,0,7.58,42.73,0,0,0.61,12.73,0,0,0,0.61,5.76,0,3.64
Y71-3-2,,7.17,-85.15,308,Pacific,20,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.65,0,10.32,0,0.65,0,2.26,0,11.29,0,0,0,0,0,0.32,36.77,0,0.65,0.65,0,0,0.32,0,0,23.23,0,12.9
y71-9-101,,-6.38,-106.93,309,Pacific,63,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.33,0,7.57,0,4.28,0,0.99,1.64,4.93,0,0.33,0,0,0,0.99,49.67,0,0,1.97,3.29,0,0.99,0,0,12.83,0,10.2
Y71-6-12,,-16.44,-77.56,310,Pacific,49,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.6,0,2.1,0,0,0,0.15,0,13.47,0.15,0.15,0,2.25,17.51,9.58,17.81,0,1.5,0.15,30.09,0,0,0,1.05,0.3,0,3.14
RR9702A-63TC,,-18.09,-79.04,311,Pacific,16,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,1.02,0,3.69,0.2,0,0,0.82,0.41,19.47,0,0.61,0,0,4.51,7.58,11.27,0,2.87,1.02,37.3,0.61,0,0,2.05,0.41,0,6.15
Y71-6-12,,-16.44,-77.56,312,Pacific,46,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.99,0,3.23,0.25,0.25,0,0.25,0.99,27.3,0.5,0,0.5,0.25,8.68,8.93,11.41,0,1.74,0.25,33.5,0,0,0,0.99,0,0,0
Y71-6-12,,-16.44,-77.56,313,Pacific,50,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.64,0,2.25,0,0,0,0.16,0,14.45,0.16,0.16,0,2.41,19.26,9.95,11.72,0,1.61,0.16,32.26,0,0,0,1.12,0.32,0,3.37
Y71-6-12,,-16.44,-77.56,314,Pacific,56,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,3.67,0,1.83,0.31,0,0.31,0.31,0,13.15,0.31,0.31,0.31,0.31,10.4,7.03,17.13,0.31,0.61,0,38.53,0.31,0.61,0,1.22,0,0,3.06
RR9702A-69TC,,-16.01,-76.38,315,Pacific,70,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,0.24,0,3.13,0,0,0,0,1.45,26.99,0.96,0,0,11.57,16.63,2.17,5.78,0,0.72,0,19.28,0,0,0,5.54,0,0,5.54
RR9702A-69TC,,-16.01,-76.38,316,Pacific,80,,,,,,,Data contributed by A.C. Mix,Michal Kucera,13/09/2007,2.25,0,1.97,0,0,0,0,0,9.83,0,0,0,2.25,10.96,28.09,10.39,0,1.97,0,27.53,0,0,0,2.25,0,0,2.53
