Core,Coring device,Latitude,Longitude,Water depth (m),Ocean,Sample depth - upper (m),Sample depth - lower (m),calendar age estimate (cal ky BP),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Laboratory,Instrument,Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia hirsuta,Globorotalia scitula,Turborotalita humilis & Berggrenia pumilio,Candeina nitida ,Globigerinita glutinata
MD972148,Piston,19.8,117.54,2830,South China Sea,11.715,,21.05,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.15,0.23,11.01,0.23,4.59,0.23,0.46,5.96,8.94,0.46,0,0.69,0,0,0,48.85,2.75,0,2.98,0.92,0.92,0.92,0,0,1.61,0,7.11
MD972148,Piston,19.8,117.54,2830,South China Sea,11.795,,21.14,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.31,0,10.43,2.15,3.99,0,0.31,3.37,6.75,0.92,0.31,0.61,0,0,0,49.39,2.76,0,2.15,0.61,0.61,2.76,0,0,1.53,0,11.04
MD972148,Piston,19.8,117.54,2830,South China Sea,11.875,,21.23,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.34,0.33,12.04,1,5.02,0.33,1,3.34,9.7,0.67,0,0.67,0,0,0,48.83,1.34,0,1.67,0.33,0,1.34,0,0.33,1,0,9.7
MD972148,Piston,19.8,117.54,2830,South China Sea,11.955,,21.32,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,0.93,0,12.73,0.93,5.32,0,1.62,5.56,9.95,0.93,0,1.85,0,0,0,45.14,1.39,0,1.39,0,0,0.93,0,0,3.47,0,7.87
MD972148,Piston,19.8,117.54,2830,South China Sea,12.035,,21.41,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.67,0,8.1,0,6.43,0,1.43,3.81,10.24,0,0.24,0.71,0,0,0,51.9,1.19,0,2.38,0.24,0,1.19,0,0.24,4.52,0,5.71
MD972148,Piston,19.8,117.54,2830,South China Sea,12.115,,21.5,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,2.24,0.25,14.46,0.75,5.74,0.25,1,2.99,7.23,1,0,0.25,0,0,0,50.62,1.25,0,2.24,0.5,0.5,0.75,0,0,2.24,0,5.74
MD972148,Piston,19.8,117.54,2830,South China Sea,12.195,,21.59,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.05,0,7.72,0.35,4.56,0,0,4.56,5.61,0,0,0.35,0,0,0,57.54,0,0,3.86,3.16,0,0,0,0.35,0.7,0,10.18
MD972148,Piston,19.8,117.54,2830,South China Sea,12.275,,21.68,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,3.37,0.75,10.86,0.75,4.49,0,1.12,3.75,7.12,0.75,0,0,0,0,0,43.45,1.12,0,3.75,10.11,0,0,0,0,0,0,8.61
MD972148,Piston,19.8,117.54,2830,South China Sea,12.355,,21.77,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,3.04,0,8.5,0.81,8.1,0,2.23,4.86,11.34,0.61,0,0.81,0,0,0,40.28,0.61,0,3.24,8.91,0,0,0,0,0.2,0,6.48
MD972148,Piston,19.8,117.54,2830,South China Sea,12.435,,21.86,,,,,"Chen, M.T.","Huang, C.C. & Chen, M.T.",Jun-03,1.55,0.22,8.19,1.55,5.97,0,1.33,8.63,8.19,1.55,0,0.66,0,0,0,40.71,0.44,0,2.43,8.19,0.22,0,0,0,0.22,0,9.96
