Core,Latitude,Longitude,Coring device,Water depth (m),Sample depth - upper (m),Chronostratigraphic quality (chronozone level),sedimentation rate (cm/ky),Publication,added by (name),date of addition,Orbulina universa,Globigerinoides conglobatus,Globigerinoides ruber,Globoturborotalita tenella,Globigerinoides sacc,Sphaeroidinella dehiscens,Globigerinella adamsi,Globigerinella siphonifera,Globigerinella calida,Globigerina bulloides,Globigerina falconensis,Beela digitata,Globoturborotalita rubescens,Turborotalita humilis,Turborotalita quinqueloba,Neogloboquadrina pachyderma L,Neogloboquadrina pachyderma R,Neogloboquadrina dutertrei,Globoquadrina conglomerata,Globorotaloides hexagonus,Pulleniatina obliquiloculata,Globorotalia inflata,Globorotalia truncatulinoides,Globorotalia crassaformis,Globorotalia crassula,Globorotalia hirsuta,Globorotalia scitula,Dentagloborotalia anfracta,Globorotalia menardii,Globorotalia tumida,Globorotalia menardii flexuosa,Candeina nitida ,Globigerinita glutinata,Globorotalia theyeri,Tenuitella iota,Globigerinita uvula,Other ID
A015558,8.983333333,51.73333333,,3985,0.58,2,2.815533981,Prell et al. (1980),TTB,37622,2,0,,0,,1,0,1,0,40,2,0,12,0,1,3,66,55,0,3,19,0,0,7,,0,2,,20,12,0,0,36,,,,
DSDP site 588,-26.11,161.2266667,,1533,0.42,2,2.038834951,Nelson et al. (1993b); Martinez (1994),TTB,37622,1.65,0.66,,0,,,,1.99,0,14.57,6.62,,4.3,,,0,2.32,2.65,,,0,19.87,6.95,3.31,0.33,,0.66,,0.33,,,,4.63,,,,
DSDP site 591,-31.58433333,164.4486667,,2131,0.4,2,1.941747573,Nelson et al. (1993b); Martinez (1994),TTB,37622,1.59,0.64,,0.64,,,,3.5,0,27.07,6.37,,,,,0.318474576,18.47152542,0.95,,,0,24.84,1.27,1.91,0.64,,0.32,,,,,,6.05,,,,
DSDP site 592,-36.47333333,165.4421667,,1088,0.31,2,1.504854369,Nelson et al. (1993b); Martinez (1994),TTB,37622,0.3,0.6,,0,,,,0.3,0,26.43,0.9,,,,3,0.60057971,20.11942029,5.4,,,0,24.02,13.51,0.6,0,,0.9,,,,,,2.4,,,,
DSDP site 593,-40.5078,167.6745,,1068,0.38,2,1.844660194,Nelson et al. (1993b); Martinez (1994),TTB,37622,0,,,0,,,,0,,29.5,0.25,,,,14.75,2,15.75,0.25,,0,,14.75,13.5,0,0,0,0,,,,,,9,,0.5,,
DSDP site 594,-45.5235,174.948,,1204,2.52,2,12.23300971,"Nelson et al. (1993a), Wells and Okada, (1998)",TTB,37622,0,0,,0,,0,0,0,0,3,0,0,0,0,4,495,15,0,0,0,0,12,0,0,,0,0,,0,0,,0,5,,,,10
E26-001,-40.28333333,168.34,,914,0.61,2,2.961165049,"Hesse (1994), Barrows et al. (2000)",TTB,37622,3,,,0,,,,0,0,105,0,0,0,,37,0,44,2,,,,56,60,0,0,0,0,,,0,,,11,,,,
E27-030,-45.0667,147.2283,,3552,0.6,2,2.912621359,Passlow et al. (1997),TTB,37622,2,,,,,,,0,,120,2,,0,,17,46,43,0,,,,45,12,,,0,2,,,,,,26,,,,0
E36-023,-43.9167,150.0505556,,2533,0.19,2,0.922330097,"Nees et al., (1994); Martinez, (1994)",TTB,37622,0.32,,,,,,,0,,55.91,0,,,,4.79,3.51,15.65,0.32,,,,8.63,1.351168,0,0,0,0.32,,,0,,,8.94,,,,
E45-027,-43.23333333,105.5833333,,3779,0.3,2,1.45631068,Prell et al. (1980),TTB,37622,0,0,,0,,0,0,0,0,157,0,1,0,0,12,50,17,0,0,0,0,38,13,0,,0,1,,0,0,0,0,11,,,,
E45-029,-44.88333333,106.5166667,,3863,0.39,2,1.893203883,Howard and Prell (1992),TTB,37622,0,,,0,,,,0,0,49.3,0,0,0,0,0,30.9,2.3,0,,,0,13.9,2.3,0,,0,0,,0,,,,1.4,,,,
E45-078,-45.037,114.348,,4031,0.31,4,1.504854369,Prell et al. (1980),TTB,37622,1,0,,0,,0,0,0,0,155,0,0,0,1,17,43,14,0,0,0,0,52,4,1,,0,1,,0,0,0,0,11,,,,
E45-102,-33.61666667,113.5833333,,1980,0.24,3,1.165048544,Wells and Wells (1994),TTB,37622,0,0,,4,,0,0,4,0,37,13,0,0,0,0,6,14,4,0,0,0,152,16,0,,1,0,,1,0,0,0,41,,,,6
E48-003,-41.02,100.0116667,,3868,0.22,3,1.067961165,Williams (1976),TTB,37622,0,0,,0,,,,0,0,38.8,0,0,0,0,23,12.6,4.9,0,,0,,10.1,2.2,0.3,,0,0.5,,0,,,,6.8,,0,0,0.5
E48-011,-29.7,97.58333333,,3462,0.22,2,1.067961165,Prell et al. (1980),TTB,37622,4,6,,0,,0,0,0,1,27,1,0,0,1,0,4,40,1,0,0,0,123,6,10,,0,0,,7,4,0,0,13,,,,
E48-022,-39.895,85.41,,3324,0.82,2,3.980582524,Williams (1976),TTB,37622,0.2,0,,0,,,,0,0,32.8,0,0,0,0,17.9,13.8,18.4,0,,0,,5.9,2.2,0,,0,0.6,,0,,,,7,,0,0,0.8
E48-023,-39.515,83.72333333,,3459,0.55,2,2.669902913,Williams (1976),TTB,37622,0.6,0,,0,,,,0,0,21,5.7,0,0,0,20.8,15.3,19.9,0,,0,,5.1,2.5,0,,0,0.2,,0,,,,7.9,,0,0,0.7
E48-027,-38.54166667,79.89833333,,3231,0.62,2,3.009708738,Williams (1976),TTB,37622,0,0,,0,,,,0,0,26.3,0.6,0,0.3,0,23.8,8.8,20.4,0.3,,0,,6.3,3.4,0,,0.3,0,,0,,,,8.8,,0,0,0
E48-028,-38.54833333,79.91833333,,3173,0.73,3,3.54368932,Williams (1976),TTB,37622,0.9,0,,0,,,,0,0,22.5,1.2,0.3,0.6,0,17.5,10.2,24.5,0.9,,0,,7.6,2.9,0,,0.3,0.3,,0,,,,9.3,,0,0,0
E48-035,-30.35333333,86.485,,1800,0.355,2,1.723300971,De Deckker (unpublished data),TTB,37622,7,7,,0,,0,,7,2,50,7,0,,,0,6,,0,,,0,93,56,0,0,7,5,,0,0,,0,3,,,,
E49-018,-46.05,90.16666667,,3291,0.5,2,2.427184466,Howard and Prell (1992),TTB,37622,0,,,0,,,,0,0,22.5,0.6,0,0,0,1.3,59.4,2.5,0,,,0,12.4,0.3,0,,0,0,,0,,,,1,,,,
E49-021,-42.18333333,94.88333333,,3328,0.49,2,2.378640777,Howard and Prell (1992),TTB,37622,0.2,,,0,,,,0,0.2,48.8,0.5,0,0,0,9,14.6,5.8,0,,,0,5.8,3.4,0,,0,0,,0,,,,11.7,,,,
E49-023,-47.11666667,95.08333333,,3206,0.59,2,2.86407767,Howard and Prell (1992),TTB,37622,0,,,0,,,,0,0,9.7,0,0,0,0,0.3,83.7,0.3,0,,,0,4.1,0.8,0.3,,0,0,,0,,,,0.8,,,,
E55-006,-38.8533,141.0633,,2346,0.4,2,1.941747573,Passlow et al. (1997),TTB,37622,0,0,,,,,,0,,71,2,0,18,,62,0,19,0,,,0,35,47,0,,3,0,,,,,,62,,,,11
