Event,Latitude,Longitude,Elevation [m],Depth [m],Sample comment,O. universa [#],G. conglobatus [#],G. ruber p [#],G. ruber w [#],G. ruber [#] (sum of G. ruber pink and G. r...),G. tenellus [#],G. sacculifer wo sac [#],G. sacculifer sac [#],G. sacculifer [#] (sum of G. sacculifer no sac a...),S. dehiscens [#],G. adamsi [#],G. aequilateralis [#],G. calida [#],G. bulloides [#],G. falconensis [#],G. digitata [#],G. rubescens [#],G. humilis [#],G. quinqueloba [#],N. pachyderma s [#],N. pachyderma d [#],G. dutertrei [#],G. conglomerata [#],G. hexagona [#],P. obliquiloculata [#],G. inflata [#],G. truncatulinoides s [#],G. truncatulinoides d [#],G. crassaformis [#],G. pachyderma [#],G. hirsuta [#],G. scitula [#],G. anfracta [#],G. menardii [#],G. tumida [#],G. tumida flexuosa [#],"G. menardii [#] (sum of G. menardii, G. tumida...)",C. nitida [#],G. glutinata [#],G. iota [#],G. bradyi [#],G. pumilio [#],H. pelagica [#],H. digitata [#],Foram plankt oth [#]
RC11-78,-50.87,-9.867,-3115,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,350,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
RC11-79,-49,-4.6,-3385,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,364,9,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RC11-80,-46.75,-0.05,-3656,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1,0,0,0,1,95,1,0,0,0,0,159,10,0,0,4,0,1,0,0,0,0,0,0,5,0,0,0,0,0,6
RC12-291,-42.58,-17.8,-3508,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,132,6,0,0,0,34,9,13,0,0,0,0,46,30,1,0,27,0,0,0,0,0,0,0,0,15,0,0,0,0,0,13
RC13-146,11.91,-75.04,-3387,0,,18,2,11,60,71,0,28,3,31,7,0,31,0,1,0,1,0,0,0,0,2,22,0,0,32,0,0,3,7,0,0,0,0,6,91,0,97,0,11,0,0,0,0,0,1
RC13-147,12.88,-74.85,-3941,0,,41,4,0,0,70,0,0,0,42,4,0,18,0,0,0,0,0,0,0,0,0,66,0,0,16,0,0,2,5,0,0,0,0,61,28,0,89,0,22,0,0,0,0,0,1
RC13-150,15.617,-71.67,-3788,0,,3,2,27,103,130,1,67,13,80,1,0,14,0,1,0,0,1,0,1,0,0,28,0,0,0,0,1,0,0,0,0,0,0,18,7,0,25,2,19,0,0,0,0,0,1
RC13-151,15.857,-74.79,-2792,0.6,,2,7,25,147,172,3,20,5,25,0,0,11,0,6,2,0,5,0,0,0,0,32,0,0,1,17,0,13,5,2,1,0,0,1,1,0,2,1,37,0,0,0,0,0,3
RC13-156TW,10.032,-76.96,-3103,0,,1,25,0,0,212,0,0,0,88,3,0,28,3,0,0,0,0,0,0,0,1,27,0,0,5,0,0,2,23,0,0,1,0,24,44,0,68,0,14,0,0,0,1,0,0
RC13-157,11.25,-78.15,-3588,0,,5,7,0,0,116,1,0,0,98,3,0,15,0,0,2,0,0,0,0,0,0,43,0,0,7,0,1,1,7,0,0,0,0,20,14,0,36,0,18,0,0,0,0,0,1
RC13-159,14.695,-77.17,-4027,0.7,,6,8,32,148,180,9,33,4,37,0,0,28,0,4,3,0,8,0,0,0,0,14,0,0,0,11,1,8,4,1,0,0,0,0,0,0,0,0,50,0,0,0,0,0,2
