corename,latitude,longitude,depth, Orbulina universa, Globigerinoides conglobatus, Globigerinoides ruber (total of pink & white), Globigerinoides tenellus, Globigerinoides sacculifer (total), Sphaeroidinella dehiscens, Globigerinella aequilateralis, Globigerina calida , Globigerina bulloides, Globigerina falconensis, Globigerina digitata, Globigerina rubescens, Globigerina quinquiloba," Neogloboquadrina pachyderma, left coiling"," Neogloboquadrina pachyderma, right coiling", Neogloboquadrina dutertrei (includes p/d intergrade), Globoquadrina conglomerata, Globoquadrina hexagona, Pulleniatina obliquiloculata, Globorotalia inflata," Globorotalia truncatulinoides, left coiling"," Globorotalia truncatulinoides, right coiling", Globorotalia crassaformis, Globorotalia hirsuta, Globorotalia scitula, Globigerinita glutinata
V29-30,3.083,76.25,80,1.6,0,14.5,1.6,4.3,0,2.4,2,7.5,0.4,0.4,0.4,0,0,2.7,23.9,1.2,3.9,16.9,0,0,0,0.4,0,0.4,15.7
RC17-69,-31.5,32.6,50,1.9,0,14.6,1,5.8,0,2.9,4.9,6.8,1,1,1,0,0,2.9,6.8,0,0,1,35,1,1,0,1,1.9,8.7
RC17-73,-32.117,36.017,20,1.8,0.5,15.4,0.5,3.4,0,2.9,4.9,13.5,0.5,0,0.5,0.3,0.3,4.4,4.7,0,0,0,29.7,0.5,0,0,1.8,4.4,9.9
RC11-145,-25.483,110.017,50,0.5,0.5,12.1,0.5,4.1,0,0.8,0.5,9.3,0.3,0.3,2.5,0,0,0.3,2.7,0,0,0.3,48.5,0.5,1.4,0,0.5,0.3,14
RC14-7,-35.517,44.75,60,1.2,0,4,0,0,0,0.9,0,10.6,5.9,0,0.3,0.6,1.6,20.6,5.9,0,0,0,37.1,1.6,4.7,0,3.1,0.6,1.2
RC14-9,-39.017,47.883,70,0.3,0,1.1,0,0,0,0.3,0,25.7,0.6,0,0.3,8.6,5.7,33.7,7.7,0,0,0,11.7,1.7,0,0,0.6,0,2
E45-27,-43.317,105.55,30,0,0,0,0,0,0,0,0,51.9,0,0.3,0,4,16.8,5.7,0,0,0,0,12.8,4.4,0,0,0,0.3,3.7
E48-03,-41.017,100.017,22,0.3,0,0,0,0,0,0,0,58.4,0.3,0,0,8.1,7,3.4,1.3,0,0,0,13.8,1.3,0,0,0,0,6
E48-23,-39.517,83.717,32,0.3,0,0,0,0,0,0,0,38.5,0.3,0.3,0,15.7,4.7,15.7,5.4,0,0,0,7.7,3.3,0.3,0,0,0,7.7
E48-27,-38.55,79.9,62,0.7,0,0,0,0,0,0,0,37.2,0,0,0,9.7,9.7,18.1,7.4,0,0,0,7.4,2.7,0.3,0,0,0,6.7
V14-77,-29.65,32.867,29,2.1,0.3,18.2,1,4.8,0,3.8,6.2,2.7,0.3,0.3,2.1,0,0,2.4,9.3,0,0,2.1,28.5,0,0.3,0.3,0.3,3.1,11.7
V14-81,-28.433,43.783,35,1.4,0,20.9,3.4,4.1,0,1.4,4.4,7.8,1,0.3,5.1,1.4,0,3,3.4,0,0,0,14.2,1.7,1,0,0.7,3,22
V20-170,-21.8,69.233,20,1.7,0.3,47.6,3.1,8.8,0,5.1,1,0.7,2.7,0.7,4.8,0,0.3,0.3,1,0.3,0.3,0.3,1.7,0.7,3.1,0,0,0.3,15
RC8-39,-42.883,42.35,90,0,0,0,0,0,0,0,0,14.6,0,0,0,7.3,59.5,8.6,3,0,0,0,1.7,1,0,0,0,0.7,3.7
RC9-150,-31.283,114.55,60,0,1,10.1,1,1.7,0,1,3.7,9.1,1.7,0,3.7,0,0,0,2.7,0,0,0,36.7,2.7,0,0,1.7,4.7,18.5
RC11-86,-35.783,18.45,40,0.7,0.3,2,0,0.7,0,0,2.7,11.4,0.7,0.3,0,1,1,34.4,26.4,1.7,0,0,13,0.7,0,0,0,0,3
RC11-120,-43.517,79.867,84,0,0,0,0,0,0,0,0,28.1,0,0,0,0.7,55,8.9,0.7,0,0,0,3.6,1.7,0,0,0,0,1.3
RC11-121,-39.717,82.25,40,0.3,0,0.7,0,0,0,0,0,31.9,12,0,0,9.3,9,8.6,8.3,0,0,0,6.3,4.3,0,0,0.3,0.7,8.3
RC11-147,-19.067,112.75,50,1.1,1.8,25.9,2.8,2.8,0,2.8,3.9,3.9,3.9,0,5.7,0,1.1,1.1,8.5,0,0,1.8,8.5,0,1.8,0,0,1.8,20.9
V14-101,8.65,58.567,70,0.4,0,16.6,1.4,2.5,0,2.1,0,9.9,2.5,0,1.1,0,0,3.2,14.8,0,1.1,4.9,0,0,0,2.8,0,0.4,36.4
V19-201,-5.333,40.433,70,0.7,0.7,27.3,0.7,3.7,0,3,2.2,5.9,1.5,0.7,5.5,0,0,3.3,17,0,0.7,4.1,0.4,0,0,2.2,0,0.7,19.6
V19-185,6.7,59.333,30,0.3,0.3,21.5,0.7,2,0,1.3,1,12.1,2.7,0,2,0.3,0.3,1.3,12.8,1.3,2.4,2,0,0,0.7,0.7,0.3,1,32.7
V19-188,6.867,60.667,50,0.9,0.3,22,1.6,2.2,0,4.1,1.3,11.6,0.9,0,3.5,0.9,0.3,4.4,16.4,0.9,3.5,6,0,0,0,2.5,0.6,1.3,14.8
V29-29,5.117,77.583,80,1.2,0.3,9.5,1.8,3.4,0,1.8,1.5,22.5,1.5,0.3,1.5,0,0,0,28,0.3,1.8,6.2,0,0,0,0.3,0,0.3,17.5
V34-87,19.483,59.767,100,1.6,0,19.2,1,2.2,0,1.2,3.4,25,12.5,0,2,0,0,0,10.3,0,0.2,2.2,0,0,0.6,0.2,0,0.6,17.7
V34-88,16.517,59.533,100,2.1,0,13.1,2.7,5.2,0,0.6,4,21,10.6,0,4.3,2.1,0,0.3,11.2,0,0.3,0.9,0,1.2,0,0,0,0.9,19.5
V34-101,17.483,67.367,40,2.8,1.2,37.2,1.9,10.5,0,1.4,3.5,5.1,4.7,0.3,0.7,0,0,0,6.3,0,0,5.6,0,0,0.7,0,0,0.5,17.5
V34-109,19.733,66.083,80,6.1,0.3,30.9,1.8,9.8,0,2.6,4.7,5.8,10,0,1.3,0,0,0,6.1,0,0.3,4.5,0,0,0.8,0,0,0,15
MD77-169,10.2,95.05,151,0.3,1.8,29.4,3.6,4.7,0,1.6,8.6,9.4,1,0.3,1,0,0,0,15.6,1,1.3,7.5,0,0,0,0.3,0,0.3,12.5
MD77-171,11.767,94.15,261,1,0.5,27.6,9.1,5.3,0,2.6,2.6,11,1.4,0.2,3.4,0,0,0,12.5,1.7,2.4,4.6,0,0,0,0,0,0.5,13.7
MD77-180,18.467,89.85,181,1,0.7,20.4,3.4,11.1,0,4.2,3.4,11.8,1.2,0,1.7,0,0,0,7.1,1,1.2,6.4,0,0,0,0,0,0,25.1
MD77-194,10.467,75.233,311,0,0.3,23.1,5.2,5.8,0.3,1.7,4.9,27.7,0.3,0,4,0,0,0,10.7,0.6,3.2,1.2,0,0,0,0,0,0.6,10.4
MD77-203,20.7,59.567,341,10,0,14,0.3,3.4,0,2.9,12,28.9,15.4,0,1.1,1.7,0.3,0.6,3.4,0,0,1.1,0,0,0,0,0,0,4.9
MD77-179,18.367,91.017,52,1.3,1.3,12.4,6.3,5.6,0,1.7,2.6,11.3,2.6,0.4,2.6,0,0,0,8.1,0.7,1.5,10.6,0,0,0,0,0,0.4,30.7
A15-558,8.983,51.733,98,0.4,0,13.3,0,2,0,1.6,1.2,19.5,5.5,0,3.9,0.4,0,0.8,18.4,0,0.4,7,0,0,1.2,2.3,0,0.4,21.9
RC9-161,19.567,59.6,180,3.9,0,19.2,2.6,1.6,0,1,3.3,21.2,11.1,0,2,2.6,0,0,6.8,0,0.3,1.6,0,0,0,0,0,1.3,21.5
