Event,Latitude,Longitude,Elevation [m],Depth [m],SST (1-12) [°C],O. universa [%],G. conglobatus [%],G. ruber [%],G. tenellus [%],G. sacculifer [%],S. dehiscens [%],G. aequilateralis [%],G. calida [%],G. bulloides [%],G. falconensis [%],G. digitata [%],G. rubescens [%],G. quinqueloba [%],N. pachyderma s [%],N. pachyderma d [%],N. dutertrei [%],G. conglomerata [%],G. hexagona [%],P. obliquiloculata [%],G. inflata [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. crassaformis [%],G. hirsuta [%],G. scitula [%],G. glutinata [%]
MD77-174,13.34,95.56,-1320,0,27.914,0.51,0.51,36.67,0.51,7.76,0,2.04,0.82,8.27,0,0,1.33,0,0,0,10.42,0.51,2.35,4.9,0,0,0,0,0,0,23.39
MD77-176,14.31,93.08,-1375,0,28.055,0.31,0.31,27.47,1.77,4.89,0,0.31,0.52,12.59,0.31,0.31,1.77,0,0,0,13.84,2.6,1.77,2.29,0,0,0,0,0,0,28.93
MD77-179,18.22,91.01,-1986,0,28.175,0,0.21,15.54,1.29,7.18,0,1.5,0,21.65,0.54,0.54,0.54,0.21,0,0,14.58,2.68,2.47,0.96,0,0,0,0,0,0,30.12
MD77-181,17.24,90.29,-2271,0,28.253,0.35,0.82,19.08,2.94,6.12,0,2.36,2.94,11.9,0,0.82,0.35,0,0,0,13.31,0.82,2.59,3.42,0,0,0,0,0,0.35,31.8
MD77-185,12.24,92.04,-1461,0,28.218,0.41,0.93,29.37,5.27,8.17,0.21,2.17,2.69,10.34,0.21,0.41,3.31,0,0,0,10.34,1.96,2.17,3.93,0,0,0,0,0,0.41,17.68
MD77-191,7.3,76.43,-1254,0,28.486,0,0.21,7.72,1.15,1.77,0,0.94,0.63,62.04,1.36,0,0.63,0,0,0,9.07,0,1.56,0.94,0,0,0,0,0,0,11.99
MD77-196,12.19,73.59,-1250,0,28.846,0.23,0,21.8,2.65,3.23,0,0.23,0,24.8,0,0,0.81,0,0,0,4.84,2.42,9.11,1.85,0,0,0,0,0,0,28.03
MD77-199,13.59,71.53,-1620,0,28.65,0.23,1.88,17.72,2.11,8.33,0,2.82,0.47,11.5,1.29,0.23,0,0,0,0,9.62,2.35,2.58,7.04,0,0,0,0,0,0,31.81
MD77-202,19.222,60.682,-2427,0,26.348,0.21,0,13.53,0.72,1.96,0.21,1.03,0.52,36.05,6.92,0.52,0.52,0.21,0,0,4.96,0,0.21,1.24,0,0,0,0,0,0,31.2
MD77-203,20.698,59.568,-2442,0,26.131,0.73,0,12.38,0.73,1.78,0,1.47,1.99,31.79,3.99,0,1.26,0,0,0,7.45,0,0.21,2.73,0,0,0,0,0,0,33.47
MD77-204,19.18,58.26,-1430,0,26.136,0.51,0.31,14.18,1.64,3.49,0,1.03,2.47,42.45,8.32,0,0,0,0,0.31,10.17,0,0.31,1.64,0,0,0,0,0,0.82,12.33
MEN-08G,40.55,-126.517,-3140,0.05,12.875,0,0,0,0,0,0,0,0,18.37,0,0,0,17.35,36.73,4.08,18.37,0,0,0,0,0,0,0,0,1.02,4.08
MEN-11G,41.5,-126.533,-2950,0.05,12.574,1.01,0,0,0,0,0,0,0,4.04,0,0,0,4.04,67.68,4.04,14.14,0,0,0,0,0,0,0,0,1.01,4.04
MEN-12G,40.6,-127.417,-3260,0.05,13.448,0,0,0,0,0,0,0,0,7,0,0,0,6,40,7,31,1,0,0,1,0,0,0,0,1,6
MPC-0-1,4.583,-139.967,,0,26.892,0,1.82,0,0,0,0,1.82,5.45,0,0,0,0,0,0,0,45.45,5.45,0,38.18,0,0,0,0,0,0,1.82
MPC-0-2,4.617,-140,,0,26.994,0,0,0,0,0,0,2.86,1.43,0,0,0,0,0,0,0,41.43,5.71,0,48.57,0,0,0,0,0,0,0
MPC-10-1,4.583,-139.967,-4451,0,26.892,0,1.69,0,0,0,1.69,1.69,5.08,0,0,1.69,0,0,0,0,42.37,5.08,1.69,35.59,0,0,0,1.69,0,0,1.69
MPC-1-1,4.65,-140.05,,0,26.994,0,0,0,0,0,0,0,0,0,0,3.33,0,0,0,0,50,0,0,46.67,0,0,0,0,0,0,0
