Event,Latitude,Longitude,Elevation [m],Depth [m],SST (1-12) [°C],O. universa [%],G. conglobatus [%],G. ruber [%],G. tenellus [%],G. sacculifer [%],S. dehiscens [%],G. aequilateralis [%],G. calida [%],G. bulloides [%],G. falconensis [%],G. digitata [%],G. rubescens [%],G. quinqueloba [%],N. pachyderma s [%],N. pachyderma d [%],N. dutertrei [%],G. conglomerata [%],G. hexagona [%],P. obliquiloculata [%],G. inflata [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. crassaformis [%],G. hirsuta [%],G. scitula [%],G. glutinata [%]
LSDA-SCS-009G,9.483,113.733,-2444,0,28.447,0.62,3.2,0,0.62,0,0.62,14.78,0,16.38,0.62,1.6,0.62,0,0,0,32.76,0,0,13.18,0,0,0.62,0.62,0,0.62,13.18
LSDA-SCS-013D,9.933,109.833,-494,0,27.951,6.01,0.84,0,2,0,0,20.02,0.84,20.02,0.84,0.84,0.84,0,0,0,22.02,0,0,6.01,0.84,0,0,0.84,0,0,18.02
LSDH-009G,5.717,65.967,-4250,0,28.614,0.68,1.35,19.8,0,19.12,0,4.57,0,6.6,0.68,1.35,0,0.68,0,2.71,28.43,0,0.68,7.28,0,0,1.35,2.71,1.35,0.68,0
LSDH-025V,-39.733,67.883,-4065,0,14.503,0,0,1.93,0,0,0,0.51,0,14.89,2.84,0,0,0,1.93,23.51,7.7,0,0,0,39.41,4.36,0,0,0.51,0.51,1.93
LSDH-038V,-32.267,113.933,-4275,0,19.834,0.34,0,10.11,0.34,1.8,0,0.34,0.34,1.8,3.03,0,0,0.34,0,0.9,16.74,0,0.34,0.34,58.99,2.47,0.9,0,0.9,0,0
LSDH-077G,-5.7,165.417,-2556,0.03,29.206,2.15,2.15,33.33,1.08,10.75,0,13.98,6.45,0,0,0,2.15,0,0,0,2.15,0,0,3.23,0,0,0,0,0,0,22.58
LSDH-078PG,-4.517,168.033,-3208,0.02,29.136,0,2.06,30.93,4.12,8.25,0,6.19,8.25,0,0,0,4.12,0,0,0,4.12,1.03,0,5.15,0,0,0,0,0,0,25.77
LSDH-079P,-3.383,170.033,-3600,0.03,29.029,0,5.21,28.13,0,10.42,0,8.33,4.17,0,0,0,3.13,0,0,0,5.21,0,0,9.38,0,0,0,0,0,0,26.04
LSDH-079PG,-3.383,170.033,-3600,0.03,29.029,0,2.15,16.13,0,8.6,0,10.75,11.83,0,0,0,1.08,0,0,0,5.38,2.15,0,13.98,0,0,0,0,0,0,27.96
LSDH-080G,6.267,168.117,-4850,0,28.808,0,1.64,0,0,0,1.64,1.64,0,0,0,1.64,0,0,0,0,14.75,0,0,78.69,0,0,0,0,0,0,0
LSDH-093PG,9.817,-170.983,-4875,0,27.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,0,0,33.33,0,0,0,0,0,0,0
