Event,Latitude,Longitude,Elevation [m],SST (1-12) [°C],Symbiosis,Spinose,Depth [m],Relative_Abundance
AMPH-138GV,3.55,-133.167,-4300,26.288,Yes,Yes,0,0.0161
AMPH-139GV,6.083,-134.967,-4550,26.944,No,No,0,0.030299999999999997
AMPH-139GV,6.083,-134.967,-4550,26.944,No,Yes,0,0
AMPH-139GV,6.083,-134.967,-4550,26.944,Yes,No,0,0.9697
AMPH-139GV,6.083,-134.967,-4550,26.944,Yes,Yes,0,0
ARIES-046G,36.562,175.387,-3666,19.525,No,No,0.1,0.3541
ARIES-046G,36.562,175.387,-3666,19.525,No,Yes,0.1,0
ARIES-046G,36.562,175.387,-3666,19.525,Yes,No,0.1,1.0209000000000001
ARIES-046G,36.562,175.387,-3666,19.525,Yes,Yes,0.1,0.0834
ARIES-049G,36.433,178.637,-3902,18.146,No,No,0.02,0.43629999999999997
ARIES-049G,36.433,178.637,-3902,18.146,No,Yes,0.02,0
ARIES-049G,36.433,178.637,-3902,18.146,Yes,No,0.02,0.8724000000000001
ARIES-049G,36.433,178.637,-3902,18.146,Yes,Yes,0.02,0.0852
BRA-262D,-64.55,-166.5,-2926,0.392,No,No,0,0.99
BRA-262D,-64.55,-166.5,-2926,0.392,No,Yes,0,0.01
BRA-262D,-64.55,-166.5,-2926,0.392,Yes,No,0,0
BRA-262D,-64.55,-166.5,-2926,0.392,Yes,Yes,0,0
BRA-91AD,-34,171,-549,18.13,No,No,0,0.26470000000000005
BRA-91AD,-34,171,-549,18.13,No,Yes,0,0.3725
BRA-91AD,-34,171,-549,18.13,Yes,No,0,0.5588
BRA-91AD,-34,171,-549,18.13,Yes,Yes,0,0.0686
BRA-91D,-34,171,-549,18.13,No,No,0,0.19
BRA-91D,-34,171,-549,18.13,No,Yes,0,0.35
BRA-91D,-34,171,-549,18.13,Yes,No,0,0.75
BRA-91D,-34,171,-549,18.13,Yes,Yes,0,0.07
BRA-96D,-34,172,-128,18.028,No,No,0,0.23759999999999998
BRA-96D,-34,172,-128,18.028,No,Yes,0,0.4158
BRA-96D,-34,172,-128,18.028,Yes,No,0,0.5346
BRA-96D,-34,172,-128,18.028,Yes,Yes,0,0.059399999999999994
CAP-1BG,2.1,169.02,NA,28.803,No,No,0.06,0.012
CAP-1BG,2.1,169.02,NA,28.803,No,Yes,0.06,0
CAP-1BG,2.1,169.02,NA,28.803,Yes,No,0.06,0.7951
CAP-1BG,2.1,169.02,NA,28.803,Yes,Yes,0.06,0.265
CAP-1HG,2.1,169.02,-4320,28.803,No,No,0,0.0128
CAP-1HG,2.1,169.02,-4320,28.803,No,Yes,0,0
CAP-1HG,2.1,169.02,-4320,28.803,Yes,No,0,0.8334
CAP-1HG,2.1,169.02,-4320,28.803,Yes,Yes,0,0.1923
CAP-2-1BG,0.717,169.33,-4320,28.753,No,No,0.04,0.011000000000000001
CAP-2-1BG,0.717,169.33,-4320,28.753,No,Yes,0.04,0
CAP-2-1BG,0.717,169.33,-4320,28.753,Yes,No,0.04,0.5825
CAP-2-1BG,0.717,169.33,-4320,28.753,Yes,Yes,0.04,0.48350000000000004
CAP-32HG,-11,-130.4,NA,26.701,No,No,0,0.2656
CAP-32HG,-11,-130.4,NA,26.701,No,Yes,0,0
CAP-32HG,-11,-130.4,NA,26.701,Yes,No,0,0.5
CAP-32HG,-11,-130.4,NA,26.701,Yes,Yes,0,0.2501
CAP-3HG,0,168.58,-4364,28.796,No,No,0.02,0.011399999999999999
CAP-3HG,0,168.58,-4364,28.796,No,Yes,0.02,0
CAP-3HG,0,168.58,-4364,28.796,Yes,No,0.02,0.899
CAP-3HG,0,168.58,-4364,28.796,Yes,Yes,0.02,0.10085000000000001
