Campaign,Event,Latitude,Longitude,Date/Time,Elevation [m],Depth [m],G. aequilateralis [%],G. bulloides [%],D. grahami [%],G. cavernula [%],G. conglobatus [%],G. crassaformis [%],S. dehiscens [%],G. digitata [%],N. dutertrei [%],G. falconensis [%],G. glutinata [%],G. hirsuta [%],T. humilis [%],G. inflata [%],G. menardii [%],C. nitida [%],P. obliquiloculata [%],N. pachyderma s [%],P/D int [%],G. quinqueloba s [%],G. quinqueloba d [%],G. quinqueloba [%],G. ruber p [%],G. ruber w [%],G. rubescens [%],G. trilobus tril [%],G. trilobus sac [%],G. scitula [%],G. tenellus [%],G. truncatulinoides s [%],G. truncatulinoides d [%],G. truncatulinoides [%],G. tumida [%],O. universa [%],G. uvula [%],G. mentum [%],P/D int [%],N. pachyderma d [%]
ARK-XIII/3,PS2887-1,79.6,-4.6077,03/09/1997,-1411,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8
ARK-XIII/3,PS2887-1,79.6,-4.6077,03/09/1997,-1411,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,96.7,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
ARK-XIII/3,PS2887-1,79.6,-4.6077,03/09/1997,-1411,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.7,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3
CEPAG,SU81-18,37.767,-10.183,01/01/1981,-3155,3.4,0.3,25.9,0,0,0,0,0,0,0,1.4,14.3,0,0,8.2,0,0,0,4.8,27.2,0,0,6.1,0,0,1.4,0,0,10.2,0,0,0.3,0.3,0,0,0,0,0,27.2
CEPAG,SU81-18,37.767,-10.183,01/01/1981,-3155,3.5,1,16.6,0,0,0,0,0,0,0,0.6,16.9,0,0,11.7,0,0,0,0.6,45.5,0,0,1.6,0,1,0,0,0,4.5,0,0,0,0,0,0,0,0,0,45.5
CEPAG,SU81-18,37.767,-10.183,01/01/1981,-3155,3.6,1.6,19.2,0,0,0,0,0,0,0,0,10.9,0,0,9.9,0,0,0,0.6,35.5,0,0,3.8,0,2.6,1.6,0,0,11.2,0,0,0,0,0,3.2,0,0,0,35.5
CEPAG,SU81-18,37.767,-10.183,01/01/1981,-3155,3.7,0.5,12,0,0,0,0,0,0,0,0,11.4,0,0,12.2,0,0,0,0.5,46.7,0,0,4.1,0,1.9,0.5,0,0,7.9,0,0,1.1,1.1,0,1.1,0,0,0,46.7
CEPAG,SU81-18,37.767,-10.183,01/01/1981,-3155,3.8,2.2,11.1,0,0,0,0,0,0,0,0,18.2,0,0,11.8,0,0,0,1,34.1,0,0,7,0,0.3,0,0,0,12.7,0,0,0.3,0.3,0,1.3,0,0,0,34.1
CEPAG,SU81-18,37.767,-10.183,01/01/1981,-3155,3.9,1.2,26.2,0,0,0,0,0,0,0,0,6.9,0,0,13.5,0,0,0,0.3,35.7,0,0,0.9,0,5.5,0,0,0,7.5,0,0,1.2,1.2,0,1.2,0,0,0,35.7
CEPAG,SU81-18,37.767,-10.183,01/01/1981,-3155,4,1,36,0,0,0,0,0,0,0,0,14.7,0,0,5.9,0,0,0,0.3,27.6,0,0,6.6,0,5.9,0,0,0,1,0,0,0,0,0,0.7,0,0,0,27.6
CEPAG,SU81-18,37.767,-10.183,01/01/1981,-3155,4.1,0.6,14.6,0,0,0,0,0,0,0,0,6.2,0,0,21.1,0,0,0,0.6,36.3,0,0,1.1,0,11.3,0,0,0,7.6,0,0.3,0.3,0.6,0,0,0,0,0,36.3
CEPAG,SU81-18,37.767,-10.183,01/01/1981,-3155,4.2,0.3,20.7,0,0,0,0,0,0.3,0,0,9.7,0,0,23,0,0,0,0.6,28.5,0,0,3.9,0,8.4,0.3,0,0,1.9,0,0.3,1,1.3,0,1,0,0,0,28.5
CEPAG,SU81-18,37.767,-10.183,01/01/1981,-3155,4.3,0,17,0,0,0,0,0,0,0,0.6,9.3,0,0,16,0,0,0,0.6,29.8,0,0,6.7,0,6.4,0,0,0,12.2,0,0,0.3,0.3,0,1,0,0,0,29.8
CEPAG,SU81-18,37.767,-10.183,01/01/1981,-3155,4.4,1.1,24.8,0,0,0,0,0,0,0,0,11.1,0,0,16.4,0,0,0,0.4,30.2,0,0,3.1,0,5,0,0,0,5.3,0,0,0,0,0,2.7,0,0,0,30.2
CH8X,CH82-24,43.465,-30.66,,-3070,0.58,0.4,34.9,0,0,0,14.5,0,0,0,4.5,0,0,3,0,0,0,14.9,11.2,2.2,0,0,9.3,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2
CH8X,CH82-24,43.465,-30.66,,-3070,0.68,0,34.1,0,0,0,6.9,0,0,0,3.1,0,0,14.5,0,0,0,9.7,7.6,2.4,0,0,20,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
D184,BOFS14K,58.6288,-19.4349,03/08/1989,-1756,0.34,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0.3,0,0,0,93.5,2,0,0,0.8,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2
D184,BOFS14K,58.6288,-19.4349,03/08/1989,-1756,0.36,0,2.4,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,86.5,4.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
D184,BOFS14K,58.6288,-19.4349,03/08/1989,-1756,0.38,0,5.5,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,81.3,5.2,0,0,4.4,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,5.2
D184,BOFS14K,58.6288,-19.4349,03/08/1989,-1756,0.4,0,2.6,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,85.9,2.6,0,0,4.8,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,2.6
D184,BOFS17K,58.001,-16.5014,10/08/1989,-1150,0.68,0,3.4,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,90.4,1.7,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9
D184,BOFS17K,58.001,-16.5014,10/08/1989,-1150,0.7,0,2,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,92.1,2,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.9
D184,BOFS17K,58.001,-16.5014,10/08/1989,-1150,0.72,0,2.1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,91.1,2.7,0,0,0.9,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1.2,1.5
D184,BOFS17K,58.001,-16.5014,10/08/1989,-1150,0.74,0,3.1,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,88.1,1.1,0,0,2.6,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0.9,0.3
D184,BOFS17K,58.001,-16.5014,10/08/1989,-1150,0.76,0,1.4,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,90.2,2.4,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1
D184,BOFS5K,50.6876,-21.8635,26/07/1989,-3547,0.78,0,0.8,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,97.5,0.6,0,0,0.4,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0.6
D184,BOFS5K,50.6876,-21.8635,26/07/1989,-3547,0.8,0,1,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,90.1,2,0,0,3.8,0,0.3,0,0,0,1.4,0,0,0,0,0,0,0,0,0,2
D184,BOFS5K,50.6876,-21.8635,26/07/1989,-3547,0.82,0,1.4,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,92.5,0.9,0,0,2.7,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0.9
D184,BOFS5K,50.6876,-21.8635,26/07/1989,-3547,0.84,0,2.1,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,92.6,2.3,0,0,0.9,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2.3
D184,BOFS5K,50.6876,-21.8635,26/07/1989,-3547,0.86,0,0.7,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,95.1,0,0,0,2,0,0.2,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0
D184,BOFS5K,50.6876,-21.8635,26/07/1989,-3547,0.88,0,1.7,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,94.8,1.5,0,0,1.1,0,0.2,0,0,0,0.4,0,0,0,0,0,0,0,0,0,1.5
D184,BOFS5K,50.6876,-21.8635,26/07/1989,-3547,0.9,0,0.2,0,0,0,0,0,0,0,0,2.2,0.4,0,0,0,0,0,92.8,0.1,0,0,2.6,0,0.4,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0.1
