Core,Region,Longitude,Latitude,Water_depth,Dating_ctrl,Confidence_rank,Productivity_anomlies
T78-46,AT-EQ,10.76,-6.84,2100,N/A,4,1
GeoB1401-4,AT-EQ,9.0057,-6.9262,3952,LC?,4,1
V22-177,AT-EEQ,-14.62,-7.75,3290,d18O,6,0.5
T78-45,AT-EQ,10.12,-7.8,4070,N/A,4,1
GeoB2202-4,AT-EQ,-34.265,-8.1983,1156,d18O,6,0.5
GeoB2204-2,AT-EQ,-34.0217,-8.5283,2072,d18O,6,0
T78-42,AT-EQ,8.8,-8.61,4470,N/A,4,1
V22-174,AT-EEQ,-12.82,-10.07,2630,d18O,5,
GeoB1016-3,AT-EEQ,11.68166667,-11.77,3411,d18O,8,1
GeoB1408-2,AT-EEQ,-6.1817,-12.8183,1847,d18O,6,-0.5
GeoB1408-2,AT-EQ,-6.1817,-12.8183,1847,d18O,6,1
GeoB1415-2,AT-EEQ,-11.58,-15.5,3215,"14C, d18O",8,-1
GeoB1906-4,AT-EEQ,-13.75,-18.2,2846,"14C, d18O",8,-1
GeoB1704-4,AT-EQ,11.6117,-19.4067,398,d18O,6,-1
GeoB1705-1,AT-EQ,11.3983,-19.505,642,LC?,4,-1
GeoB1706-2,AT-EQ,11.175,-19.5617,980,d18O,6,0.5
GeoB1707-1,AT-EQ,10.6567,-19.69,1232,LC?,4,0.5
GeoB1028-5,AT-EQ,9.1858,-20.104,2209,d18O,7,1
GeoB2125-1,AT-EQ,-39.8633,-20.8233,1503,d18O,6,-1
175-1082A,AT-SE,11.8206,-21.094,1279.3,d18O,6,1
GeoB1035-4,AT-EQ,5.0283,-21.5867,4453,d18O,6,-1
GeoB1035-3,AT-SE,5.0283,-21.5867,4453,d18O,6,0.5
GeoB1034-3,AT-EQ,5.4217,-21.735,3773,strat?,4,0
GeoB1034-3/1,AT-SE,5.4217,-21.735,3772,d18O,6,-0.5
GeoB1031-4,AT-EQ,7.1017,-21.88,3105,d18O,6,0
IOW226920-3,AT-EQ,12.36,-22.45,1683,"14C, d18O",7,1
GeoB1032-3/2,AT-SE,6.0367,-22.915,2505,d18O,6,-1
GeoB1712-4,AT-SE,12.81,-23.26,998,d18O,5,1
GeoB1711-4,AT-SE,12.38,-23.32,1967,"14C, d18O",6,1
GeoB1710,AT-SW African Margin,-11.69833333,-23.43166667,2987,d18O,7.5,1
GeoB1211-3/1,AT-SE,7.5333,-24.475,4084,d18O,6,-1
GeoB1214-1,AT-SE,7.24,-24.69,3210,d18O,6,99
GeoB3718-10,AT-EQ,13.1617,-24.895,1350,LC?,4,1
GeoB3720-3,AT-EQ,12.6667,-25.0683,2517,LC?,4,1
GeoB3722-2,AT-EQ,12.0217,-25.25,3506,"14C, d18O",7,1
GeoB3606-1,AT-EQ,13.0833,-25.4667,1785,"14C, d18O",7,1
175-1084A,AT-EQ,13.0278,-25.5139,1992,d18O,6,1
RC13-229,AT-SE,11,-26,4194,d18O,7,1
GeoB2109-1,AT-EQ,-45.8817,-27.9117,2504,d18O,6,-1
GeoB1719-7,AT-EQ,14.1783,-28.9267,1010,d18O,6,-0.5
GeoB1720-2,AT-EQ,13.835,-28.995,1997,d18O,6,0.5
GeoB1721-7,AT-EQ,13.0817,-29.1683,3044,d18O,6,1
GeoB1722-1,AT-EQ,11.75,-29.45,3973,d18O,6,-1
GeoB3603-2,AT-EQ,17.5433,-35.125,2840,LC?,4,1
RC12-267,AT-STF,25.45,-38.68,4144,d18O,8,1
RC11-83,AT-SAF,9.72,-41.6,4718,"14C, d18O",9,1
