,dbn,dbs,dsn,dss,dsst,dsal,dpo4,dchl,dfe
6785,-1.204851e-10,-1.9009656e-10,-1.15112925e-05,-5.596764e-11,0.18648529,-0.34069824,-1.2638747e-08,-0.043581806,-1.708772e-12
6786,-0.040609747,-0.04994825,-0.06576044,-8.335857e-11,-0.9677334,-0.5325928,-2.2909553e-08,-0.058018126,-1.7491508e-10
6789,-1.6070222e-11,-2.5612554e-11,-3.1536966e-09,-1.2709833e-11,0.050167084,-0.17763138,-1.520104e-09,-0.006231986,-4.095821e-12
6790,-8.792078e-12,-1.5971311e-11,-1.48732e-11,-1.3109486e-11,-0.18931198,-0.14715576,-5.18523e-10,0.0016634837,7.732967e-12
6791,-1.901914e-10,-2.9134314e-10,-4.459331e-10,-4.8899204e-11,-0.5133991,-0.14253235,-1.3676122e-08,-0.019770533,8.857637e-13
6792,-1.8167335e-09,-1.9301567e-09,-0.025227293,-7.2630714e-11,-0.6224747,-0.20724869,-2.9233998e-08,-0.049735636,-4.6641857e-12
6793,-0.055550214,-0.08038025,-0.07536196,-1.2005767e-10,-0.02643013,-0.25100708,-3.898823e-08,-0.07649992,-1.8781754e-11
6794,-0.06442511,-0.09355899,-0.08437713,-1.0910669e-10,0.685482,-0.36205292,-3.4428787e-08,-0.07903431,-5.0829924e-11
6795,-0.015028762,-0.027556805,-0.0491776,-5.402674e-11,-0.44578362,-0.5056381,-1.2653466e-08,-0.025953755,-1.6699311e-10
6797,-2.4839193e-11,-3.654638e-11,-4.104491e-11,-2.2079644e-11,0.15985298,-0.22187805,-2.9690614e-09,-0.009807326,-6.3933636e-11
6798,-1.6104659e-10,-1.4107378e-10,-2.681755e-10,-3.015649e-11,0.63212395,-0.32522583,-3.264239e-08,-0.048380736,-7.5853226e-11
6799,-4.9335654e-11,-3.6058184e-11,-7.4638656e-11,-1.7460242e-11,0.5313015,-0.26488495,-1.7560332e-08,-0.041213214,-6.175417e-11
6800,-1.9572392e-11,-1.2161264e-11,-2.8515364e-11,-7.4616285e-12,0.61304665,-0.32372665,-4.819199e-09,-0.02069122,-6.8428346e-11
6801,-5.5582452e-11,-1.0815683e-10,-1.14292915e-10,-4.5402848e-11,-0.46372414,-0.30840302,-6.5931838e-09,-0.015381381,-6.952978e-11
6802,-0.019842286,-0.043437846,-0.05103944,-1.14854376e-10,-0.31672096,-0.31016922,-1.9551159e-08,-0.037777767,-6.3877126e-11
6803,-0.051336378,-0.080611415,-0.07474084,-1.3355177e-10,-0.1115818,-0.29792023,-2.7573451e-08,-0.05017878,-6.2512294e-11
6804,-8.2208046e-11,-1.1811396e-10,-8.4067295e-09,-3.3994113e-11,0.94731903,-0.16448212,-6.0102625e-09,-0.028542578,-3.2494354e-11
6809,-6.438573e-11,-9.24518e-11,-1.2160759e-10,-9.2759925e-11,-0.9126301,-0.27871323,-7.846808e-09,-0.028709173,4.4642918e-11
6810,-3.2661825e-11,-1.9623166e-11,-4.819337e-11,-2.6245964e-11,0.6466236,-0.21759796,-4.1743493e-09,-0.024662718,3.0465675e-11
6811,-4.4080812e-11,-5.2647376e-11,-6.385408e-11,-3.114438e-11,0.71313477,-0.16456604,-8.8829175e-09,-0.03105301,3.0723826e-11
6812,-7.079584e-11,-7.047497e-11,-1.0200164e-10,-3.6003332e-11,0.90823364,-0.14221573,-3.259902e-08,-0.04978027,2.214428e-11
6813,-6.8730646e-11,-5.6853286e-11,-9.522625e-11,-3.1947528e-11,1.2431221,-0.14459991,-2.9183944e-08,-0.059786882,2.3985043e-11
6814,-4.0762865e-11,-1.537668e-11,-5.6096874e-11,-2.1662297e-11,1.4141731,-0.17798996,-1.688142e-08,-0.055399008,2.5136278e-11
6815,-2.7016778e-11,-1.9487617e-12,-4.1782806e-11,-1.7000297e-11,1.7089272,-0.21185684,-1.42320244e-08,-0.045231048,2.7642163e-11
6817,-1.08095035e-11,-4.5787914e-27,-2.0162982e-11,-1.895132e-11,0.42840576,-0.06248474,-2.709222e-09,-0.015156008,4.8266346e-11
6818,-2.3285974e-11,-6.1342207e-12,-3.642004e-11,-2.5824683e-11,0.65218544,-0.06287384,-4.1242445e-09,-0.021210453,4.8417093e-11
6819,-3.7161583e-11,-2.4350227e-11,-5.443167e-11,-3.2027048e-11,0.8555565,-0.12236023,-5.7381193e-09,-0.029028384,4.2899753e-11
6820,-5.0335725e-11,-4.3918636e-11,-7.2227266e-11,-3.531727e-11,1.1069107,-0.2002449,-7.273574e-09,-0.036902286,2.7396623e-11
6821,-6.6735416e-11,-7.4421316e-11,-9.799301e-11,-3.7616243e-11,0.90278625,-0.31612778,-8.802321e-09,-0.04227943,-1.2685013e-11
6822,-0.043974973,-0.051188443,-0.06776895,-8.5842694e-11,0.08981705,-0.5631561,-2.4898252e-08,-0.07811622,-1.589626e-10
6825,-7.0817366e-11,-1.0297494e-10,-0.00035572113,-5.9896504e-11,-0.4279003,-0.10326767,-6.0465144e-09,-0.015181124,1.1483356e-11
6826,-2.8050767e-11,-3.3334446e-11,-4.1116263e-11,-1.6684362e-11,0.78941345,-0.14895248,-3.4649736e-09,-0.01659115,1.5119357e-11
6827,-6.104914e-11,-5.875694e-11,-9.148947e-11,-3.147417e-11,1.0900898,-0.11953354,-1.7632528e-08,-0.041260336,-1.718524e-11
6828,-5.932068e-11,-6.079633e-11,-9.082275e-11,-3.5927275e-11,1.2827492,-0.25473404,-8.8759045e-09,-0.03487413,1.3954671e-12
6829,-9.015734e-11,-1.3439123e-10,-1.4885455e-10,-4.003682e-11,1.8185444,-0.32153702,-1.073654e-08,-0.046174474,-2.921574e-11
6830,-1.4187848e-10,-1.863795e-10,-0.00675058,-4.6629534e-11,0.92461014,-0.4459381,-1.2284821e-08,-0.047266223,-1.4332364e-10
6831,0.0059244856,0.0039837495,0.009307077,2.5173752e-12,-0.048088074,-0.69849396,4.1589274e-09,0.020179883,-4.0681922e-10
6833,-2.0166676e-11,-1.6636876e-11,-3.0586304e-11,-1.8737324e-11,0.06527138,-0.19472885,-2.4491107e-09,-0.009392627,-5.424137e-11
6834,-3.6965757e-11,-3.744558e-11,-5.6503524e-11,-2.3625352e-11,0.43426132,-0.29933167,-6.654093e-09,-0.024291426,-6.263686e-11
6835,-2.9302883e-11,-2.6094158e-11,-4.4767044e-11,-1.2616602e-11,0.18566895,-0.26882935,-7.732868e-09,-0.01779551,-4.947054e-11
6836,-3.0905382e-12,-1.3179609e-12,-4.1813497e-12,1.6669999e-12,0.29249573,-0.3300705,-3.1352432e-10,-0.0023077726,-5.28146e-11
6837,-2.7906608e-11,-1.992792e-11,-3.8998756e-11,-1.3834871e-11,0.11721611,-0.26228714,-1.1295723e-08,-0.030285105,-7.051076e-11
6838,-7.7917846e-11,-7.982301e-11,-1.1966056e-10,-3.3246253e-11,0.41716766,-0.28759003,-1.991322e-08,-0.048578363,-6.120331e-11
6839,-2.3573654e-10,-2.775321e-10,-0.00037356134,-5.329688e-11,0.9705143,-0.21236038,-2.4578293e-08,-0.06251538,-5.7496723e-11
6840,-4.9943633e-11,-7.02513e-11,-7.5345306e-11,-2.0589086e-11,1.5108395,-0.23788834,-5.76419e-09,-0.025944367,-1.8902012e-11
6845,-2.1906435e-11,-1.7426111e-11,-3.803476e-11,-4.2117393e-11,-1.1369305,-0.26091766,-2.6207672e-09,-0.009076696,2.5832357e-11
6846,-2.5551412e-11,-8.906599e-12,-3.714171e-11,-1.803288e-11,0.77383614,-0.26993942,-3.4714644e-09,-0.021339767,2.2384459e-11
6847,-6.15803e-11,-5.269107e-11,-8.9140154e-11,-4.2015454e-11,0.7909813,-0.1702385,-2.9086726e-08,-0.0568538,1.0027056e-11
6848,-5.1981495e-11,-3.903329e-11,-7.19962e-11,-3.190679e-11,0.9836254,-0.13893127,-2.2096721e-08,-0.05196209,1.5391306e-11
6849,-3.958675e-11,-2.1301372e-11,-5.3372286e-11,-2.1593179e-11,1.1296711,-0.13546371,-1.4324174e-08,-0.042121157,2.2734647e-11
6850,-3.263601e-11,-1.7963487e-11,-4.46401e-11,-2.0610728e-11,1.0070229,-0.08086395,-6.9070785e-09,-0.029342506,2.5966514e-11
6851,-8.961534e-12,-8.1897345e-26,-1.390205e-11,-6.606264e-12,1.0711708,-0.102558136,-2.045652e-09,-0.013536045,2.8683257e-11
6854,-9.222392e-12,-4.9206557e-28,-1.2147658e-11,-9.120045e-12,0.46585274,0.050071716,-1.3084476e-09,-0.008137841,4.5633115e-11
6855,-2.4287449e-11,-6.985062e-12,-3.388351e-11,-2.0093587e-11,0.68367195,-0.04521942,-3.7033243e-09,-0.021447118,4.018133e-11
6856,-4.30855e-11,-3.2129934e-11,-6.037611e-11,-2.83562e-11,1.0017109,-0.14179611,-6.1115863e-09,-0.03318785,1.6724056e-11
6857,-5.531899e-11,-5.273489e-11,-7.892392e-11,-3.2229837e-11,1.1603718,-0.30105972,-7.4324875e-09,-0.036554106,-2.6110038e-11
6858,-0.020940322,-0.029940594,-0.05271523,-8.432958e-11,0.7118511,-0.5996742,-1.952924e-08,-0.068377525,-1.3609541e-10
6861,-0.07566655,-0.09975437,-0.054452226,-0.013683706,-0.15359879,-0.08691025,-3.0149565e-08,-0.037773326,-3.943651e-13
6862,-4.8780594e-11,-7.301232e-11,-1.4290738e-07,-3.302711e-11,0.81903267,-0.13471603,-5.3671974e-09,-0.02432273,1.3437411e-11
6863,-8.9447026e-11,-8.997091e-11,-1.3952284e-10,-4.183779e-11,1.4873981,-0.038116455,-2.1132019e-08,-0.054200843,-2.3630792e-11
6864,-9.823864e-11,-9.998934e-11,-1.500008e-10,-4.557782e-11,1.4707985,-0.19615173,-2.2556584e-08,-0.060438447,-2.9029293e-11
6865,-6.8865566e-11,-8.054693e-11,-1.0242336e-10,-3.2584012e-11,1.6259384,-0.30638885,-8.712329e-09,-0.040039167,-4.9253684e-11
6866,-0.05442888,-0.06502799,-0.07502309,-9.1516975e-11,1.6172009,-0.4062271,-2.86044e-08,-0.09327373,-1.2689674e-10
6869,-7.000736e-10,-3.0709902e-08,-0.043360375,-2.216079e-10,-0.16472626,-0.1325264,-1.6460334e-08,-0.048325922,-4.8298303e-11
6870,-4.3991366e-11,-5.866339e-11,-7.410121e-11,-4.1635737e-11,0.42436028,-0.32086945,-5.122995e-09,-0.021976724,-6.513323e-11
6871,-2.4037949e-11,-2.2608887e-11,-3.532566e-11,-1.43872e-11,0.30628586,-0.29564667,-6.9793726e-09,-0.02094287,-4.688972e-11
6872,-6.2448033e-12,-3.3713726e-12,-6.9092163e-12,4.654041e-12,0.50019646,-0.40608215,-3.4649537e-09,-0.010738641,-4.272223e-11
6873,-1.7674792e-11,-1.30925e-11,-2.2316947e-11,7.6520734e-13,0.69387245,-0.39195633,-9.242435e-09,-0.02436709,-5.472451e-11
6874,-5.725422e-11,-5.3639385e-11,-8.471968e-11,-1.4890075e-11,0.89491653,-0.43297958,-1.5883021e-08,-0.042596564,-4.369536e-11
6875,-1.589494e-10,-1.6156683e-10,-2.809395e-10,-3.1044278e-11,1.3224239,-0.30783844,-2.7534634e-08,-0.056946523,-4.8635304e-11
6876,-4.775537e-11,-6.3808965e-11,-7.199069e-11,-1.6710605e-11,1.8081512,-0.54224396,-6.371549e-09,-0.02779008,-2.856422e-11
6877,-4.459475e-11,-5.400037e-11,-7.236991e-11,-3.96069e-11,0.6179142,-0.7437668,-5.2656053e-09,-0.022863857,-1.1001228e-11
6881,-1.4727806e-11,-8.006352e-12,-2.3464276e-11,-1.8963692e-11,0.0071315765,-0.29976273,-1.8186683e-09,-0.009171702,1.5913914e-11
6882,-2.4549265e-11,-7.736495e-12,-3.5578342e-11,-1.4839172e-11,1.0706596,-0.37161255,-3.1633873e-09,-0.02014425,1.4110787e-11
6883,-2.6036466e-11,-8.474676e-12,-3.792766e-11,-1.5462978e-11,1.1286354,-0.26428223,-3.6146424e-09,-0.02275227,1.6099823e-11
6884,-2.6599827e-11,-6.7585954e-12,-4.1187897e-11,-2.1919848e-11,1.3118801,-0.20683289,-4.2626187e-09,-0.026042257,1.841824e-11
6885,-2.4895658e-11,-5.2161504e-12,-3.8343474e-11,-2.0272853e-11,1.2947121,-0.15382385,-4.0469508e-09,-0.024365,2.0551803e-11
6886,-2.6963941e-11,-8.5896125e-12,-3.976463e-11,-2.1597488e-11,0.98101044,-0.07892227,-3.7788843e-09,-0.022491168,1.9285237e-11
6887,-1.8090479e-11,-7.3633954e-13,-2.5516578e-11,-1.1321555e-11,0.9502373,-0.09703827,-2.4993105e-09,-0.015009921,1.900419e-11
6888,-1.0274574e-11,-6.6822783e-19,-1.35219475e-11,-5.011873e-12,0.72732544,-0.0263443,-1.2972481e-09,-0.0074144676,2.0900844e-11
6889,-7.9355793e-13,-3.630332e-27,9.410944e-13,4.984492e-12,0.7247753,0.002822876,7.5925977e-10,0.0011732392,2.3973178e-11
6890,2.9930468e-12,-6.651081e-13,6.4689643e-12,6.997028e-12,0.843523,0.023338318,4.3736943e-09,0.008691538,3.0739744e-11
